Key,Value
BPM,60.0000
StartTime,10.8854
scoreCounter,44.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Mean Onset List,12.5089,14.7279,15.8429,16.8709,17.8973,18.9274,19.9586,20.9915,22.0345,23.0777,24.1203,25.1618,26.2073,27.2441,28.2819,29.3172,30.3542,31.3883,32.4254,33.4626,34.5008,35.5378,36.5748,37.6064,38.6489,39.6941,40.7380,41.7815,42.8238,43.8631,44.9099,45.9497,46.9933,48.0379,49.0773,50.1205,51.1559,52.1950,54.3341,55.4188,56.4540,57.4844,58.5169,59.5439
Mean Interval List,0.0000,1.0612,1.0040,1.0044,1.0061,1.0076,1.0105,1.0176,1.0188,1.0194,1.0173,1.0171,1.0141,1.0132,1.0117,1.0114,1.0122,1.0139,1.0150,1.0152,1.0135,1.0137,1.0137,1.0171,1.0190,1.0200,1.0186,1.0197,1.0182,1.0187,1.0197,1.0198,1.0192,1.0197,1.0184,1.0166,1.0160,1.0469,1.0608,1.0126,1.0088,1.0066,1.0048,1.0035
Timestamps,1.5085,2.4688,3.4781,4.4157,5.8632,6.8777,7.9037,8.9344,9.9554,10.8854,11.7235,12.7267,13.7309,14.8047,15.9279,16.9896,18.0452,19.1330,20.3054,21.3623,22.4173,23.4173,24.4559,25.4353,26.4632,27.4691,28.5008,29.5524,30.6223,31.6772,32.7187,33.7197,34.7630,35.7996,36.9026,37.9717,39.0346,40.0509,41.1157,42.1281,43.1790,44.2393,45.2863,46.3137,47.3669,48.3833,49.3863,50.4172,52.0690,53.3830,54.5590,55.5676,56.5584,57.5523,58.5591,59.5836
Player1OnsetTimes,14.4510,14.9732,15.5019,16.3297,17.5854,18.9878,20.2399,21.2208,22.0436,22.9024,23.9152,25.0688,26.2482,27.3450,28.3373,29.2847,30.2666,31.3052,32.3966,33.4887,34.5357,35.5489,36.5538,37.5758,38.6260,39.6884,40.7389,41.7721,42.8037,43.8480,44.8991,45.9389,46.9804,48.0246,49.0619,50.1095,51.1457,52.1803,54.3107,55.3954,56.4349,57.4734,58.5116,59.5347
Player2OnsetTimes,12.1440,14.7424,16.0961,17.1130,17.9519,18.8049,19.7885,20.9030,22.0759,23.1905,24.2062,25.1639,26.1481,27.1758,28.2602,29.3472,30.4051,31.4154,32.4117,33.4252,34.4742,35.5333,36.5851,37.6205,38.6566,39.6884,40.7238,41.7721,42.8189,43.8630,44.9160,45.9551,46.9959,48.0405,49.0774,50.1249,51.1601,52.1955,54.3260,55.4105,56.4502,57.4888,58.5275,59.5505
Player3OnsetTimes,12.2652,14.8637,16.1272,17.0641,17.8916,18.7754,19.8040,20.9479,22.1060,23.1748,24.1606,25.1327,26.1481,27.2064,28.2912,29.3472,30.3743,31.3847,32.4117,33.4571,34.5045,35.5489,36.5851,37.6050,38.6417,39.6884,40.7389,41.7873,42.8342,43.8630,44.8991,45.9389,46.9804,48.0246,49.0774,50.1249,51.1601,52.1955,54.3260,55.4105,56.4502,57.4888,58.5275,59.5505
Player4OnsetTimes,12.3116,14.9122,16.1424,17.0341,17.8462,18.7602,19.8195,20.9790,22.1211,23.1748,24.1606,25.1327,26.1481,27.2064,28.2912,29.3472,30.3743,31.3847,32.4117,33.4571,34.5045,35.5489,36.5851,37.6050,38.6417,39.6884,40.7389,41.7873,42.8342,43.8630,44.8991,45.9389,46.9804,48.0246,49.0774,50.1249,51.1601,52.1955,54.3260,55.4105,56.4502,57.4888,58.5116,59.5347
Player5OnsetTimes,12.1141,14.7122,16.0811,17.1284,17.9827,18.8206,19.7885,20.9030,22.0759,23.1905,24.2062,25.1639,26.1481,27.1758,28.2602,29.3472,30.4051,31.4154,32.4117,33.4252,34.4742,35.5333,36.5851,37.6205,38.6566,39.6884,40.7238,41.7721,42.8189,43.8630,44.9160,45.9551,46.9959,48.0405,49.0774,50.1249,51.1601,52.1955,54.3260,55.4105,56.4502,57.4888,58.5275,59.5505
Player6OnsetTimes,12.4814,14.5783,15.6839,16.8209,17.9665,19.0361,20.0275,20.9790,21.9795,23.0394,24.1270,25.1962,26.2482,27.2684,28.2756,29.3003,30.3440,31.4002,32.4439,33.4729,34.5045,35.5333,36.5692,37.6050,38.6566,39.7089,40.7542,41.7873,42.8189,43.8630,44.9160,45.9551,46.9959,48.0405,49.0774,50.1249,51.1601,52.1955,54.3260,55.4105,56.4502,57.4888,58.5275,59.5505
Player7OnsetTimes,12.2048,14.8202,16.1272,17.0960,17.9216,18.7897,19.8040,20.9326,22.0911,23.1748,24.1757,25.1477,26.1481,27.1911,28.2756,29.3472,30.3903,31.4002,32.4117,33.4421,34.4892,35.5333,36.5851,37.6205,38.6566,39.6884,40.7238,41.7721,42.8189,43.8630,44.9160,45.9551,46.9959,48.0405,49.0774,50.1095,51.1457,52.1955,54.3575,55.4422,56.4654,57.4734,58.4970,59.5347
