Key,Value
BPM,90.0000
StartTime,51.2808
scoreCounter,65.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Mean Onset List,52.9557,55.0765,55.8656,56.6904,57.4001,58.6132,59.4033,60.1895,61.0054,61.7438,62.4528,63.2178,63.9227,64.6488,65.3506,66.1114,66.8105,67.5219,68.2175,68.9107,69.6070,70.3028,71.0013,71.6988,72.3982,73.0952,73.7895,74.4891,75.1916,75.8934,76.5915,77.2882,77.9838,78.6754,79.3686,80.0648,80.7629,81.4628,82.1615,82.8517,83.5419,84.2343,84.9306,85.6242,86.3177,87.0132,87.7094,88.4064,89.1042,89.8008,90.4950,91.1925,91.8867,92.5841,93.2775,93.9725,94.6668,95.3626,96.0614,96.7625,97.4586,98.1552,98.8541,99.5528,100.2458
Mean Interval List,0.0000,0.7245,0.6549,0.6504,0.6826,0.6837,0.6595,0.6578,0.6892,0.6844,0.6841,0.6828,0.6808,0.6791,0.6768,0.6756,0.6729,0.6730,0.6717,0.6724,0.6718,0.6734,0.6744,0.6744,0.6746,0.6732,0.6773,0.6757,0.6769,0.6751,0.6737,0.6718,0.6692,0.6706,0.6724,0.6743,0.6745,0.6739,0.6681,0.6681,0.6693,0.6718,0.6709,0.6713,0.6721,0.6726,0.6727,0.6729,0.6735,0.6727,0.6729,0.6728,0.6733,0.6730,0.6721,0.6720,0.6726,0.6759,0.6759,0.6769,0.6765,0.6741,0.6721,0.6723,0.6722
Timestamps,45.2198,45.8761,46.5267,47.2067,47.8812,48.4928,49.1643,49.8466,50.5600,51.2808,51.8465,52.6537,53.3861,54.1105,54.8387,55.5388,56.2844,57.0081,57.7391,58.4679,59.2244,59.9151,60.6378,61.3564,62.0878,62.7712,63.4954,64.1646,64.8453,65.5234,66.2300,66.9303,67.6144,68.3238,69.0047,69.7345,70.4495,71.1473,71.8488,72.5195,73.2984,73.9613,74.6843,75.3495,76.0227,76.6836,77.3269,78.0515,78.7794,79.5090,80.2106,80.8964,81.4795,82.1781,82.8928,83.6319,84.3065,85.0098,85.7196,86.4229,87.1203,87.8201,88.5297,89.2113,89.9120,90.6039,91.3096,91.9985,92.6774,93.3692,94.0764,94.8355,95.5312,96.2499,96.9421,97.5906,98.2469,98.9492,99.6455,100.2765
Player1OnsetTimes,54.2920,54.8219,55.3449,57.0387,58.0798,58.5286,59.1461,59.8836,60.7457,61.6622,62.5497,63.3156,63.9499,64.5815,65.2626,65.9964,66.7452,67.5228,68.2614,68.9570,69.6101,70.2602,70.9440,71.6648,72.3957,73.1105,73.8013,74.4831,75.1712,75.8640,76.5755,77.2938,78.0040,78.6821,79.3522,80.0309,80.7397,81.4616,82.1781,82.8621,83.5387,84.2212,84.9136,85.6101,86.3184,87.0243,87.7123,88.3956,89.0873,89.7889,90.4867,91.1840,91.8748,92.5683,93.2754,93.9814,94.6786,95.3603,96.0491,96.7399,97.4497,98.1683,98.8632,99.5524,100.2443
Player2OnsetTimes,53.5061,55.0661,55.4080,56.7748,57.7842,58.4217,59.2716,60.0977,60.8686,61.6470,62.4580,63.2413,63.9499,64.6430,65.3228,66.0273,66.7452,67.5067,68.2460,68.9570,69.6405,70.3087,70.9915,71.6809,72.3957,73.1105,73.8171,74.5129,75.1879,75.8791,76.5755,77.2784,77.9876,78.6821,79.3677,80.0618,80.7558,81.4616,82.1616,82.8621,83.5545,84.2366,84.9297,85.6249,86.3184,87.0083,87.7123,88.4105,89.1039,89.8040,90.5017,91.1992,91.8893,92.5837,93.2754,93.9652,94.6628,95.3603,96.0645,96.7708,97.4652,98.1522,98.8480,99.5524,100.2601
Player3OnsetTimes,52.8053,54.9012,55.7534,56.5720,57.3344,58.9243,59.6831,60.1441,61.1064,61.8583,62.4885,63.1056,63.7809,64.5659,65.3698,66.1381,66.8194,67.4919,68.1830,68.8963,69.6257,70.3402,71.0217,71.6960,72.3785,73.0798,73.7853,74.4979,75.2045,75.8948,76.5910,77.2938,77.9876,78.6821,79.3677,80.0618,80.7558,81.4616,82.1616,82.8621,83.5545,84.2366,84.9297,85.6249,86.3184,87.0083,87.7123,88.4105,89.1039,89.8040,90.5017,91.1992,91.8893,92.5837,93.2754,93.9652,94.6628,95.3603,96.0645,96.7708,97.4652,98.1522,98.8480,99.5524,100.2601
Player4OnsetTimes,52.6055,55.2043,56.2053,56.7902,57.2121,58.4826,59.3191,60.0977,60.8376,61.6177,62.4580,63.2561,63.9651,64.6430,65.3228,66.0273,66.7452,67.5067,68.2614,68.9727,69.6405,70.2934,70.9761,71.6809,72.4110,73.1255,73.8171,74.4979,75.1879,75.8791,76.5910,77.3092,78.0040,78.6821,79.3677,80.0618,80.7713,81.4795,82.1781,82.8621,83.5387,84.2212,84.9297,85.6401,86.3340,87.0243,87.7123,88.4105,89.1039,89.8040,90.5017,91.1992,91.8893,92.5837,93.2754,93.9814,94.6786,95.3755,96.0645,96.7554,97.4497,98.1522,98.8632,99.5675,100.2601
Player5OnsetTimes,53.0003,55.0829,55.8009,56.4697,57.1972,58.9408,59.7916,60.2386,61.0383,61.7072,62.3807,63.1056,63.8584,64.6430,65.3855,66.0908,66.7629,67.4766,68.2139,68.9418,69.6405,70.3087,70.9761,71.6648,72.3785,73.0949,73.8013,74.4979,75.1879,75.8791,76.5755,77.2784,77.9876,78.6821,79.3677,80.0618,80.7558,81.4616,82.1616,82.8464,83.5387,84.2366,84.9297,85.6249,86.3184,87.0083,87.7123,88.4105,89.1039,89.8040,90.5017,91.1992,91.8893,92.5837,93.2754,93.9652,94.6628,95.3603,96.0645,96.7708,97.4652,98.1522,98.8480,99.5524,100.2443
Player6OnsetTimes,52.9537,55.0374,55.7848,56.4867,57.2121,58.9243,59.7767,60.2386,61.0755,61.7534,62.4120,63.1056,63.8426,64.6270,65.3855,66.1069,66.7860,67.4766,68.1830,68.9108,69.6257,70.3252,71.0068,71.6960,72.3957,73.0949,73.7853,74.4831,75.1879,75.8948,76.5910,77.2938,77.9876,78.6821,79.3677,80.0618,80.7558,81.4616,82.1616,82.8464,83.5387,84.2366,84.9297,85.6249,86.3184,87.0083,87.6972,88.3956,89.1039,89.8040,90.5017,91.1992,91.8893,92.5837,93.2754,93.9652,94.6628,95.3603,96.0645,96.7708,97.4652,98.1522,98.8480,99.5524,100.2443
Player7OnsetTimes,52.6690,55.2977,56.2506,56.7748,57.1665,58.4516,59.3191,60.1128,60.8533,61.6177,62.4419,63.2413,63.9651,64.6594,65.3378,66.0273,66.7306,67.4919,68.2460,68.9727,69.6560,70.3087,70.9761,71.6809,72.3957,73.1105,73.8171,74.5129,75.2045,75.8948,76.5910,77.2938,77.9876,78.6821,79.3831,80.0764,80.7713,81.4616,82.1616,82.8621,83.5545,84.2366,84.9297,85.6249,86.3184,87.0243,87.7277,88.4105,89.1039,89.8040,90.5017,91.1992,91.8893,92.5837,93.2754,93.9814,94.6786,95.3755,96.0645,96.7554,97.4497,98.1522,98.8632,99.5675,100.2601
