Key,Value
BPM,60.0000
StartTime,11.4581
scoreCounter,51.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Player8OnsetTimes,12.8522,15.4340,16.6998,17.5742,18.3242,20.1576,21.2801,22.1296,23.2048,24.4389,25.7050,26.8268,27.7783,28.6656,29.6042,30.6527,31.7605,32.8556,33.8824,34.8456,35.7937,36.7879,37.8226,38.8744,39.9096,40.9245,41.9219,42.9143,43.9230,44.9444,45.9772,47.0107,48.0383,49.0494,50.0623,51.0860,52.1252,53.1564,54.1743,55.1831,56.2044,57.2355,58.2648,59.2804,60.2842,61.2912,62.3131,63.3426,64.3519,65.3548,66.3489
Player9OnsetTimes,14.4852,15.0002,15.5198,17.8638,19.4765,20.1818,20.7171,22.3612,23.8351,24.8854,25.6810,26.4538,27.4087,28.5454,29.7367,30.8575,31.8567,32.7829,33.7153,34.7118,35.7690,36.8367,37.8826,38.8864,39.8725,40.8650,41.8740,42.9030,43.9346,44.9564,45.9772,46.9854,47.9935,49.0185,50.0623,51.0860,52.1073,53.1217,54.1409,55.1658,56.1892,57.2198,58.2490,59.2645,60.2842,61.2912,62.2980,63.3115,64.3214,65.3395,66.3331
Player10OnsetTimes,12.7560,15.3470,16.6880,17.6230,18.3863,20.1576,21.2323,22.0817,23.1928,24.4625,25.7413,26.8508,27.7783,28.6538,29.6042,30.6649,31.7721,32.8556,33.8704,34.8337,35.7937,36.7879,37.8226,38.8744,39.9096,40.9245,41.9219,42.9143,43.9230,44.9564,45.9884,47.0107,48.0236,49.0337,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player11OnsetTimes,14.5589,15.0723,15.5922,17.8274,19.3938,20.1205,20.7841,22.5171,23.9512,24.8854,25.5848,26.3613,27.3736,28.5823,29.8078,30.8935,31.8323,32.7332,33.6797,34.7118,35.7937,36.8611,37.8826,38.8621,39.8365,40.8408,41.8740,42.9143,43.9484,44.9564,45.9658,46.9738,47.9935,49.0185,50.0623,51.0860,52.1073,53.1217,54.1409,55.1658,56.1892,57.2198,58.2490,59.2645,60.2842,61.2912,62.2980,63.3115,64.3214,65.3395,66.3331
Player12OnsetTimes,13.1996,15.2721,16.2903,17.2817,18.3358,20.5957,21.7151,22.2522,23.7757,24.9091,25.7528,26.5141,27.4217,28.5227,29.7135,30.8575,31.8813,32.8072,33.7269,34.7118,35.7690,36.8489,37.8946,38.8983,39.8725,40.8529,41.8740,42.9143,43.9596,44.9798,45.9772,46.9738,47.9935,49.0337,50.0623,51.0860,52.1073,53.1217,54.1409,55.1658,56.2044,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3366,65.3230,66.3164
Player13OnsetTimes,12.9703,15.0361,16.2189,17.3792,18.4959,19.5651,21.5701,22.8668,23.7517,24.4508,25.3203,26.4292,27.6586,28.8458,29.8802,30.7967,31.7127,32.6975,33.7497,34.8337,35.8778,36.8858,37.8581,38.8373,39.8483,40.8887,41.9348,42.9621,43.9707,44.9684,45.9772,46.9989,48.0236,49.0494,50.0806,51.1028,52.1252,53.1388,54.1571,55.1831,56.2198,57.2517,58.2648,59.2804,60.2998,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player14OnsetTimes,13.2720,15.3470,16.3021,17.2326,18.2770,20.6076,21.7638,22.2877,23.7401,24.8467,25.7167,26.5268,27.4566,28.5454,29.7135,30.8333,31.8567,32.8072,33.7497,34.7364,35.7690,36.8235,37.8701,38.8864,39.8850,40.8765,41.8872,42.9143,43.9484,44.9684,45.9772,46.9854,48.0088,49.0337,50.0623,51.0860,52.1073,53.1217,54.1409,55.1658,56.2044,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3366,65.3230,66.3164
Player15OnsetTimes,12.9354,15.0002,16.2071,17.3915,18.5083,19.5651,21.5462,22.8425,23.7401,24.4625,25.3322,26.4292,27.6586,28.8458,29.8802,30.7967,31.7127,32.6975,33.7497,34.8337,35.8904,36.8976,37.8701,38.8498,39.8599,40.8887,41.9219,42.9507,43.9707,44.9798,45.9884,46.9989,48.0236,49.0494,50.0806,51.1028,52.1252,53.1388,54.1571,55.1831,56.2198,57.2517,58.2648,59.2804,60.2998,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player16OnsetTimes,12.8767,15.4583,16.7117,17.5623,18.3128,20.1694,21.2919,22.1415,23.2168,24.4389,25.6928,26.8144,27.7783,28.6776,29.6171,30.6527,31.7486,32.8319,33.8577,34.8337,35.8055,36.7997,37.8226,38.8621,39.8974,40.9126,41.9219,42.9267,43.9346,44.9564,45.9884,47.0107,48.0236,49.0337,50.0623,51.0860,52.1252,53.1564,54.1743,55.1831,56.2044,57.2355,58.2648,59.2804,60.2842,61.2912,62.3131,63.3426,64.3519,65.3548,66.3489
Player17OnsetTimes,13.0922,15.1624,16.2548,17.3192,18.3986,19.5042,21.6549,22.9974,23.8109,24.4147,25.2370,26.3729,27.6586,28.8811,29.9166,30.8091,31.6875,32.6600,33.7383,34.8456,35.9023,36.8976,37.8581,38.8260,39.8365,40.8887,41.9466,42.9734,43.9707,44.9564,45.9658,46.9854,48.0236,49.0494,50.0806,51.1028,52.1252,53.1388,54.1571,55.1831,56.2044,57.2355,58.2648,59.2804,60.2998,61.3084,62.3131,63.3264,64.3366,65.3548,66.3489
