Key,Value
BPM,60.0000
StartTime,11.4581
scoreCounter,51.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Player44OnsetTimes,13.3668,15.4340,16.3257,17.1971,18.2289,20.6076,21.8005,22.3242,23.7279,24.8114,25.6810,26.5141,27.4687,28.5707,29.7246,30.8333,31.8442,32.7952,33.7383,34.7364,35.7813,36.8367,37.8701,38.8744,39.8725,40.8765,41.8872,42.9030,43.9346,44.9564,45.9772,46.9854,48.0088,49.0337,50.0623,51.0860,52.1073,53.1217,54.1409,55.1658,56.1892,57.2198,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3366,65.3230,66.3164
Player45OnsetTimes,13.5604,15.1155,15.8679,16.9675,18.3242,19.6878,20.8210,22.0336,23.4587,24.7755,25.8747,26.7664,27.6115,28.5588,29.6412,30.7845,31.8813,32.8921,33.8455,34.7958,35.7813,36.8235,37.8826,38.9218,39.9336,40.9245,41.9219,42.9267,43.9484,44.9798,46.0110,47.0230,48.0383,49.0494,50.0806,51.1028,52.1252,53.1564,54.1895,55.2219,56.2355,57.2517,58.2648,59.2804,60.2998,61.3244,62.3453,63.3585,64.3519,65.3548,66.3489
Player46OnsetTimes,12.7327,15.3213,16.6759,17.6351,18.4111,20.1576,21.2202,22.0697,23.1928,24.4743,25.7528,26.8508,27.7783,28.6538,29.6042,30.6649,31.7721,32.8556,33.8704,34.8337,35.7937,36.7879,37.8226,38.8744,39.9096,40.9245,41.9219,42.9143,43.9230,44.9564,45.9884,47.0107,48.0236,49.0337,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player47OnsetTimes,12.6966,15.2836,16.6637,17.6475,18.4363,20.1694,21.2074,22.0578,23.1928,24.4743,25.7528,26.8508,27.7783,28.6538,29.6042,30.6649,31.7721,32.8556,33.8704,34.8337,35.7937,36.7879,37.8226,38.8744,39.9216,40.9369,41.9348,42.9267,43.9346,44.9564,45.9884,47.0107,48.0236,49.0337,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player48OnsetTimes,12.7796,15.3606,16.6880,17.6109,18.3733,20.1576,21.2438,22.0931,23.2048,24.4625,25.7291,26.8391,27.7783,28.6656,29.6171,30.6649,31.7605,32.8439,33.8704,34.8456,35.8055,36.7997,37.8226,38.8621,39.8974,40.9245,41.9348,42.9393,43.9484,44.9564,45.9772,46.9989,48.0236,49.0494,50.0806,51.1028,52.1252,53.1388,54.1571,55.1831,56.2044,57.2355,58.2648,59.2804,60.2842,61.2912,62.3131,63.3426,64.3519,65.3548,66.3489
Player49OnsetTimes,12.9703,15.0361,16.2189,17.3792,18.4959,19.5651,21.5701,22.8668,23.7517,24.4508,25.3203,26.4292,27.6586,28.8458,29.8802,30.7967,31.7127,32.6975,33.7497,34.8337,35.8778,36.8858,37.8581,38.8373,39.8483,40.8887,41.9348,42.9621,43.9707,44.9684,45.9772,46.9989,48.0236,49.0494,50.0806,51.1028,52.1252,53.1388,54.1571,55.1831,56.2198,57.2517,58.2648,59.2804,60.2998,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player50OnsetTimes,13.8360,15.3859,15.9294,16.8217,18.1331,19.6025,20.8690,22.1415,23.5294,24.7630,25.8009,26.6941,27.5878,28.5823,29.6777,30.7967,31.8693,32.8684,33.8215,34.7840,35.7937,36.8367,37.8826,38.9099,39.9216,40.9126,41.9104,42.9267,43.9596,44.9919,46.0110,47.0107,48.0236,49.0494,50.0806,51.1028,52.1252,53.1564,54.1895,55.2219,56.2355,57.2355,58.2490,59.2804,60.3156,61.3408,62.3453,63.3426,64.3366,65.3395,66.3489
Player51OnsetTimes,13.0064,15.0723,16.2307,17.3669,18.4720,19.5508,21.5946,22.9014,23.7636,24.4389,25.2961,26.4181,27.6703,28.8578,29.8926,30.8091,31.7127,32.6846,33.7383,34.8337,35.8904,36.8976,37.8701,38.8498,39.8599,40.8887,41.9219,42.9507,43.9596,44.9564,45.9772,46.9989,48.0236,49.0494,50.0806,51.1028,52.1252,53.1388,54.1571,55.1831,56.2198,57.2517,58.2648,59.2804,60.2998,61.3084,62.3131,63.3264,64.3366,65.3548,66.3489
Player52OnsetTimes,13.3551,15.4218,16.3257,17.1971,18.2289,20.6076,21.8005,22.3242,23.7279,24.8114,25.6810,26.5141,27.4687,28.5707,29.7246,30.8333,31.8442,32.7952,33.7383,34.7364,35.7813,36.8367,37.8701,38.8744,39.8725,40.8765,41.8872,42.9030,43.9346,44.9564,45.9772,46.9854,48.0088,49.0337,50.0623,51.0860,52.1073,53.1217,54.1409,55.1658,56.2044,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3366,65.3230,66.3164
Player53OnsetTimes,12.6097,15.1988,16.6386,17.6836,18.4837,20.1694,21.1707,22.0223,23.1806,24.4987,25.7890,26.8751,27.7783,28.6415,29.5921,30.6527,31.7721,32.8684,33.8824,34.8337,35.7813,36.7879,37.8341,38.8864,39.9216,40.9245,41.9219,42.9267,43.9484,44.9684,45.9884,47.0107,48.0383,49.0494,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player54OnsetTimes,12.6342,15.2232,16.6519,17.6836,18.4837,20.1694,21.1707,22.0223,23.1806,24.4987,25.7890,26.8751,27.7671,28.6300,29.5795,30.6527,31.7840,32.8800,33.8824,34.8337,35.7813,36.7763,37.8226,38.8864,39.9336,40.9369,41.9219,42.9143,43.9346,44.9684,45.9996,47.0107,48.0236,49.0337,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player55OnsetTimes,12.7203,15.3085,16.6759,17.6351,18.4111,20.1576,21.2202,22.0697,23.1928,24.4743,25.7528,26.8508,27.7783,28.6538,29.6042,30.6649,31.7721,32.8556,33.8704,34.8337,35.7937,36.7879,37.8226,38.8744,39.9096,40.9245,41.9219,42.9143,43.9230,44.9564,45.9996,47.0230,48.0383,49.0494,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player56OnsetTimes,13.0064,15.0723,16.2307,17.3669,18.4720,19.5508,21.5946,22.9014,23.7636,24.4389,25.2961,26.4181,27.6703,28.8578,29.8926,30.8091,31.7127,32.6846,33.7383,34.8337,35.8904,36.8976,37.8701,38.8498,39.8599,40.8887,41.9219,42.9507,43.9596,44.9564,45.9772,46.9989,48.0236,49.0494,50.0806,51.1028,52.1252,53.1388,54.1571,55.1831,56.2198,57.2517,58.2648,59.2804,60.2998,61.3084,62.3131,63.3264,64.3366,65.3548,66.3489
Player57OnsetTimes,13.0305,15.1036,16.2429,17.3549,18.4489,19.5336,21.6064,22.9255,23.7757,24.4389,25.2846,26.4071,27.6703,28.8698,29.8926,30.7967,31.7002,32.6846,33.7497,34.8337,35.8778,36.8733,37.8463,38.8373,39.8599,40.9004,41.9348,42.9507,43.9596,44.9564,45.9772,46.9989,48.0236,49.0494,50.0806,51.1028,52.1252,53.1388,54.1571,55.1831,56.2198,57.2517,58.2648,59.2804,60.2998,61.3084,62.3131,63.3264,64.3366,65.3548,66.3489
Player58OnsetTimes,12.6699,15.2602,16.6637,17.6593,18.4489,20.1576,21.1826,22.0336,23.1928,24.4987,25.7771,26.8626,27.7671,28.6300,29.5795,30.6527,31.7840,32.8800,33.8824,34.8337,35.7813,36.7763,37.8226,38.8864,39.9336,40.9369,41.9219,42.9143,43.9346,44.9684,45.9996,47.0107,48.0236,49.0337,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player59OnsetTimes,13.1761,15.2478,16.2787,17.2817,18.3492,19.4912,21.7033,23.0456,23.8230,24.3912,25.2014,26.3494,27.6703,28.9063,29.9285,30.7967,31.6642,32.6484,33.7383,34.8456,35.9023,36.8976,37.8581,38.8260,39.8365,40.8765,41.9219,42.9507,43.9596,44.9564,45.9658,46.9854,48.0236,49.0494,50.0806,51.1028,52.1252,53.1388,54.1571,55.1831,56.2044,57.2355,58.2648,59.2804,60.2842,61.2912,62.3131,63.3426,64.3519,65.3548,66.3489
Player60OnsetTimes,12.7679,15.3606,16.6880,17.6109,18.3733,20.1576,21.2438,22.0931,23.2048,24.4625,25.7291,26.8391,27.7783,28.6656,29.6171,30.6649,31.7605,32.8439,33.8704,34.8456,35.8055,36.7997,37.8226,38.8621,39.8974,40.9245,41.9348,42.9393,43.9484,44.9564,45.9772,46.9989,48.0236,49.0494,50.0806,51.1028,52.1252,53.1388,54.1571,55.1831,56.2044,57.2355,58.2648,59.2804,60.2998,61.3084,62.3131,63.3264,64.3366,65.3548,66.3489
Player61OnsetTimes,13.0567,15.1269,16.2429,17.3425,18.4363,19.5336,21.6312,22.9489,23.7875,24.4266,25.2609,26.3842,27.6586,28.8698,29.9044,30.8091,31.7002,32.6720,33.7383,34.8337,35.8904,36.8858,37.8581,38.8373,39.8483,40.8887,41.9348,42.9621,43.9707,44.9684,45.9772,46.9854,48.0088,49.0337,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player62OnsetTimes,13.3920,15.4583,16.3257,17.1732,18.1927,20.6189,21.8379,22.3612,23.7157,24.7755,25.6561,26.5141,27.4920,28.5941,29.7367,30.8212,31.8203,32.7708,33.7383,34.7478,35.7937,36.8489,37.8701,38.8621,39.8599,40.8650,41.8872,42.9143,43.9484,44.9684,45.9772,46.9738,47.9935,49.0185,50.0623,51.0860,52.1073,53.1217,54.1409,55.1658,56.1892,57.2198,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3366,65.3230,66.3164
Player63OnsetTimes,12.6699,15.2602,16.6637,17.6593,18.4489,20.1576,21.1826,22.0336,23.1928,24.4987,25.7771,26.8626,27.7671,28.6300,29.5795,30.6527,31.7840,32.8800,33.8824,34.8337,35.7813,36.7763,37.8226,38.8864,39.9336,40.9369,41.9219,42.9143,43.9346,44.9684,45.9996,47.0107,48.0236,49.0337,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player64OnsetTimes,12.8884,14.9563,16.1952,17.4149,18.5459,19.5905,21.5212,22.8041,23.7279,24.4743,25.3561,26.4538,27.6586,28.8221,29.8562,30.7967,31.7247,32.7093,33.7615,34.8337,35.8778,36.8858,37.8701,38.8621,39.8725,40.9004,41.9348,42.9507,43.9596,44.9684,45.9772,46.9989,48.0236,49.0494,50.0806,51.1028,52.1252,53.1564,54.1895,55.2219,56.2355,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player65OnsetTimes,12.5981,15.1865,16.6386,17.6961,18.5083,20.1694,21.1579,22.0100,23.1806,24.4987,25.7890,26.8751,27.7783,28.6415,29.5921,30.6527,31.7721,32.8684,33.8824,34.8337,35.7813,36.7879,37.8341,38.8864,39.9216,40.9245,41.9219,42.9267,43.9484,44.9684,45.9884,47.0107,48.0383,49.0494,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player66OnsetTimes,12.7679,15.3606,16.6880,17.6109,18.3733,20.1576,21.2438,22.0931,23.2048,24.4625,25.7291,26.8391,27.7783,28.6656,29.6171,30.6649,31.7605,32.8439,33.8704,34.8456,35.8055,36.7997,37.8226,38.8621,39.8974,40.9245,41.9348,42.9393,43.9484,44.9564,45.9772,46.9989,48.0236,49.0494,50.0806,51.1028,52.1252,53.1388,54.1571,55.1831,56.2044,57.2355,58.2648,59.2804,60.2998,61.3084,62.3131,63.3264,64.3366,65.3548,66.3489
Player67OnsetTimes,12.7438,15.3336,16.6759,17.6230,18.3986,20.1694,21.2323,22.0817,23.1928,24.4625,25.7413,26.8508,27.7783,28.6538,29.6042,30.6649,31.7721,32.8556,33.8704,34.8337,35.7937,36.7879,37.8226,38.8744,39.9096,40.9245,41.9219,42.9143,43.9230,44.9564,45.9884,47.0107,48.0236,49.0337,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player68OnsetTimes,12.6097,15.1988,16.6386,17.6836,18.4837,20.1694,21.1707,22.0223,23.1806,24.4987,25.7890,26.8751,27.7783,28.6415,29.5921,30.6527,31.7721,32.8684,33.8824,34.8337,35.7813,36.7879,37.8341,38.8864,39.9216,40.9245,41.9219,42.9267,43.9484,44.9684,45.9884,47.0107,48.0383,49.0494,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player69OnsetTimes,14.0289,15.0598,15.4701,17.7322,19.3747,20.1818,20.8809,22.5407,23.9124,24.8355,25.5725,26.3842,27.4217,28.6183,29.8078,30.8810,31.8323,32.7454,33.7035,34.7364,35.8055,36.8611,37.8826,38.8744,39.8599,40.8650,41.8872,42.9143,43.9484,44.9684,45.9772,46.9738,47.9935,49.0185,50.0623,51.0860,52.1073,53.1217,54.1409,55.1658,56.1892,57.2198,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3366,65.3230,66.3164
Player70OnsetTimes,12.6455,15.2350,16.6519,17.6713,18.4604,20.1694,21.1946,22.0456,23.1928,24.4857,25.7649,26.8508,27.7671,28.6415,29.5921,30.6527,31.7721,32.8684,33.8824,34.8337,35.7813,36.7763,37.8226,38.8864,39.9336,40.9369,41.9219,42.9143,43.9346,44.9684,45.9996,47.0107,48.0236,49.0337,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player71OnsetTimes,12.9001,14.9720,16.2071,17.4149,18.5335,19.5772,21.5344,22.8158,23.7279,24.4625,25.3446,26.4538,27.6703,28.8343,29.8681,30.7967,31.7127,32.6975,33.7497,34.8337,35.8904,36.8976,37.8701,38.8498,39.8599,40.8887,41.9219,42.9507,43.9707,44.9798,45.9884,46.9989,48.0236,49.0494,50.0806,51.1028,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player72OnsetTimes,12.8522,15.4340,16.6998,17.5742,18.3242,20.1576,21.2801,22.1296,23.2048,24.4389,25.7050,26.8268,27.7783,28.6656,29.6042,30.6527,31.7605,32.8556,33.8824,34.8456,35.7937,36.7879,37.8226,38.8744,39.9096,40.9245,41.9219,42.9143,43.9230,44.9444,45.9772,47.0107,48.0383,49.0494,50.0623,51.0860,52.1252,53.1564,54.1743,55.1831,56.2044,57.2355,58.2648,59.2804,60.2842,61.2912,62.3131,63.3426,64.3519,65.3548,66.3489
Player73OnsetTimes,12.6097,15.1988,16.6386,17.6836,18.4837,20.1694,21.1707,22.0223,23.1806,24.4987,25.7890,26.8751,27.7783,28.6415,29.5921,30.6527,31.7721,32.8684,33.8824,34.8337,35.7813,36.7879,37.8341,38.8864,39.9216,40.9245,41.9219,42.9267,43.9484,44.9684,45.9884,47.0107,48.0383,49.0494,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player74OnsetTimes,12.7438,15.3336,16.6759,17.6230,18.3986,20.1694,21.2323,22.0817,23.1928,24.4625,25.7413,26.8508,27.7783,28.6538,29.6042,30.6649,31.7721,32.8556,33.8704,34.8337,35.7937,36.7879,37.8226,38.8744,39.9096,40.9245,41.9219,42.9143,43.9230,44.9564,45.9884,47.0107,48.0236,49.0337,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player75OnsetTimes,12.9354,15.0002,16.2071,17.3915,18.5083,19.5651,21.5462,22.8425,23.7401,24.4625,25.3322,26.4292,27.6586,28.8458,29.8802,30.7967,31.7127,32.6975,33.7497,34.8337,35.8904,36.8976,37.8701,38.8498,39.8599,40.8887,41.9219,42.9507,43.9707,44.9798,45.9884,46.9989,48.0236,49.0494,50.0806,51.1028,52.1252,53.1388,54.1571,55.1831,56.2198,57.2517,58.2648,59.2804,60.2998,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player76OnsetTimes,12.5862,15.1741,16.6386,17.7080,18.5198,20.1694,21.1464,21.9982,23.1806,24.5108,25.8009,26.8751,27.7671,28.6300,29.5921,30.6649,31.7840,32.8684,33.8824,34.8337,35.7813,36.7879,37.8341,38.8864,39.9216,40.9245,41.9219,42.9267,43.9484,44.9684,45.9884,47.0107,48.0383,49.0494,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player77OnsetTimes,12.9473,15.0122,16.2071,17.3915,18.5083,19.5651,21.5462,22.8425,23.7401,24.4625,25.3322,26.4292,27.6586,28.8458,29.8802,30.7967,31.7127,32.6975,33.7497,34.8337,35.8778,36.8858,37.8581,38.8373,39.8483,40.8887,41.9348,42.9621,43.9707,44.9684,45.9772,46.9989,48.0236,49.0494,50.0806,51.1028,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player78OnsetTimes,12.6574,15.2478,16.6637,17.6713,18.4604,20.1694,21.1946,22.0456,23.1928,24.4857,25.7649,26.8508,27.7671,28.6415,29.5921,30.6527,31.7721,32.8684,33.8824,34.8337,35.7813,36.7763,37.8226,38.8864,39.9336,40.9369,41.9219,42.9143,43.9346,44.9684,45.9996,47.0107,48.0236,49.0337,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player79OnsetTimes,14.7025,15.2232,15.7389,16.7500,18.1927,19.7111,20.9287,22.1176,23.4587,24.7038,25.7890,26.7299,27.6236,28.5941,29.6531,30.7605,31.8442,32.8684,33.8326,34.7958,35.7937,36.8235,37.8701,38.8983,39.9096,40.9126,41.9104,42.9267,43.9596,44.9798,45.9996,47.0107,48.0236,49.0337,50.0623,51.1028,52.1405,53.1719,54.1895,55.2052,56.2198,57.2355,58.2490,59.2804,60.2998,61.3244,62.3453,63.3585,64.3519,65.3395,66.3331
Player80OnsetTimes,12.9473,15.0122,16.2071,17.3915,18.5083,19.5651,21.5462,22.8425,23.7401,24.4625,25.3322,26.4292,27.6586,28.8458,29.8802,30.7967,31.7127,32.6975,33.7497,34.8337,35.8778,36.8858,37.8581,38.8373,39.8483,40.8887,41.9348,42.9621,43.9707,44.9684,45.9772,46.9989,48.0236,49.0494,50.0806,51.1028,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player81OnsetTimes,12.8408,15.4218,16.6998,17.5862,18.3492,20.1694,21.2679,22.1176,23.2048,24.4389,25.7050,26.8268,27.7783,28.6656,29.6042,30.6527,31.7605,32.8556,33.8824,34.8456,35.7937,36.7879,37.8226,38.8744,39.9096,40.9245,41.9219,42.9143,43.9230,44.9444,45.9772,47.0107,48.0383,49.0494,50.0623,51.0860,52.1252,53.1564,54.1743,55.1831,56.2044,57.2355,58.2648,59.2804,60.2842,61.2912,62.3131,63.3426,64.3519,65.3548,66.3489
Player82OnsetTimes,13.1996,15.2721,16.2903,17.2817,18.3358,20.5957,21.7151,22.2522,23.7757,24.9091,25.7528,26.5141,27.4217,28.5227,29.7135,30.8575,31.8813,32.8072,33.7269,34.7118,35.7690,36.8489,37.8946,38.8983,39.8725,40.8529,41.8740,42.9143,43.9596,44.9798,45.9772,46.9738,47.9935,49.0337,50.0623,51.0860,52.1073,53.1217,54.1409,55.1658,56.2044,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3366,65.3230,66.3164
Player83OnsetTimes,13.2364,15.3085,16.2903,17.2450,18.3013,20.6189,21.7638,22.2877,23.7401,24.8467,25.7167,26.5268,27.4566,28.5454,29.7135,30.8333,31.8567,32.8072,33.7497,34.7364,35.7690,36.8235,37.8701,38.8864,39.8850,40.8765,41.8872,42.9143,43.9484,44.9684,45.9772,46.9854,48.0088,49.0337,50.0623,51.0860,52.1073,53.1217,54.1409,55.1658,56.2044,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3366,65.3230,66.3164
Player84OnsetTimes,13.0427,15.1155,16.2429,17.3425,18.4363,19.5336,21.6312,22.9489,23.7875,24.4266,25.2609,26.3842,27.6586,28.8698,29.9044,30.8091,31.7002,32.6720,33.7383,34.8337,35.8904,36.8976,37.8701,38.8498,39.8599,40.8887,41.9219,42.9507,43.9596,44.9564,45.9772,46.9989,48.0236,49.0494,50.0806,51.1028,52.1252,53.1388,54.1571,55.1831,56.2044,57.2355,58.2648,59.2804,60.2998,61.3084,62.3131,63.3264,64.3366,65.3548,66.3489
Player85OnsetTimes,13.9940,15.0241,15.8919,17.0524,18.3986,19.6994,20.7697,21.9596,23.4227,24.7877,25.9034,26.7785,27.5995,28.5342,29.6171,30.7728,31.8813,32.8921,33.8326,34.7840,35.7813,36.8235,37.8826,38.9218,39.9216,40.9126,41.9104,42.9267,43.9596,44.9919,46.0110,47.0107,48.0236,49.0494,50.0806,51.1028,52.1252,53.1564,54.1895,55.2219,56.2355,57.2355,58.2490,59.2804,60.3156,61.3408,62.3453,63.3426,64.3366,65.3395,66.3489
Player86OnsetTimes,14.9447,15.4583,15.9783,16.8098,18.0719,19.5336,20.8328,22.1415,23.5525,24.7877,25.8009,26.6704,27.5518,28.5588,29.6657,30.7967,31.8693,32.8556,33.7973,34.7596,35.7690,36.8235,37.8826,38.9099,39.9096,40.9004,41.8990,42.9143,43.9484,44.9798,45.9996,47.0107,48.0236,49.0337,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player87OnsetTimes,12.6574,15.2478,16.6637,17.6713,18.4604,20.1694,21.1946,22.0456,23.1928,24.4857,25.7649,26.8508,27.7671,28.6415,29.5921,30.6527,31.7721,32.8684,33.8824,34.8337,35.7813,36.7763,37.8226,38.8864,39.9336,40.9369,41.9219,42.9143,43.9346,44.9684,45.9996,47.0107,48.0236,49.0337,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player88OnsetTimes,12.9235,15.0002,16.2189,17.4028,18.5198,19.5772,21.5462,22.8305,23.7279,24.4625,25.3446,26.4538,27.6703,28.8343,29.8681,30.7967,31.7127,32.6975,33.7497,34.8337,35.8778,36.8858,37.8581,38.8373,39.8483,40.8887,41.9348,42.9621,43.9707,44.9684,45.9772,46.9989,48.0236,49.0494,50.0806,51.1028,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player89OnsetTimes,12.7438,15.3336,16.6759,17.6230,18.3986,20.1694,21.2323,22.0817,23.1928,24.4625,25.7413,26.8508,27.7783,28.6538,29.6042,30.6649,31.7721,32.8556,33.8704,34.8337,35.7937,36.7879,37.8226,38.8744,39.9096,40.9245,41.9219,42.9143,43.9230,44.9564,45.9884,47.0107,48.0236,49.0337,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player90OnsetTimes,13.0064,15.0723,16.2307,17.3669,18.4720,19.5508,21.5946,22.9014,23.7636,24.4389,25.2961,26.4181,27.6703,28.8578,29.8926,30.8091,31.7127,32.6846,33.7383,34.8337,35.8904,36.8976,37.8701,38.8498,39.8599,40.8887,41.9219,42.9507,43.9596,44.9564,45.9772,46.9989,48.0236,49.0494,50.0806,51.1028,52.1252,53.1388,54.1571,55.1831,56.2198,57.2517,58.2648,59.2804,60.2998,61.3084,62.3131,63.3264,64.3366,65.3548,66.3489
Player91OnsetTimes,12.9123,14.9875,16.2071,17.4028,18.5198,19.5772,21.5462,22.8305,23.7279,24.4625,25.3446,26.4538,27.6703,28.8343,29.8681,30.7967,31.7127,32.6975,33.7497,34.8337,35.8904,36.8976,37.8701,38.8498,39.8599,40.8887,41.9219,42.9507,43.9707,44.9798,45.9884,46.9989,48.0236,49.0494,50.0806,51.1028,52.1252,53.1388,54.1571,55.1831,56.2198,57.2517,58.2648,59.2804,60.2998,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player92OnsetTimes,13.3920,15.4583,16.3257,17.1732,18.1927,20.6189,21.8379,22.3612,23.7157,24.7755,25.6561,26.5141,27.4920,28.5941,29.7367,30.8212,31.8203,32.7708,33.7383,34.7478,35.7937,36.8489,37.8701,38.8621,39.8599,40.8650,41.8872,42.9143,43.9484,44.9684,45.9772,46.9738,47.9935,49.0185,50.0623,51.0860,52.1073,53.1217,54.1409,55.1658,56.1892,57.2198,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3366,65.3230,66.3164
Player93OnsetTimes,12.9123,14.9875,16.2071,17.4028,18.5198,19.5772,21.5462,22.8305,23.7279,24.4625,25.3446,26.4538,27.6703,28.8343,29.8681,30.7967,31.7127,32.6975,33.7497,34.8337,35.8904,36.8976,37.8701,38.8498,39.8599,40.8887,41.9219,42.9507,43.9707,44.9798,45.9884,46.9989,48.0236,49.0494,50.0806,51.1028,52.1252,53.1388,54.1571,55.1831,56.2198,57.2517,58.2648,59.2804,60.2998,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player94OnsetTimes,14.0531,15.0846,15.4701,17.7080,19.3514,20.1694,20.9164,22.5882,23.9255,24.8114,25.5356,26.3729,27.4327,28.6415,29.8209,30.8694,31.8081,32.7332,33.7035,34.7364,35.8055,36.8611,37.8826,38.8744,39.8599,40.8650,41.8872,42.9143,43.9484,44.9684,45.9772,46.9738,47.9935,49.0185,50.0623,51.0860,52.1073,53.1217,54.1409,55.1658,56.1892,57.2198,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3366,65.3230,66.3164
Player95OnsetTimes,13.1643,15.2350,16.2787,17.2941,18.3607,19.4912,21.6913,23.0334,23.8230,24.4032,25.2136,26.3494,27.6586,28.8940,29.9285,30.8091,31.6759,32.6484,33.7269,34.8337,35.9023,36.8976,37.8581,38.8260,39.8365,40.8765,41.9348,42.9621,43.9707,44.9684,45.9772,46.9854,48.0088,49.0337,50.0623,51.0860,52.1252,53.1564,54.1743,55.1831,56.2044,57.2355,58.2648,59.2804,60.2842,61.2912,62.3131,63.3426,64.3519,65.3548,66.3489
