Key,Value
BPM,120.0000
StartTime,21.2211
scoreCounter,63.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Player39OnsetTimes,22.8940,24.9778,25.5652,26.1803,26.8903,27.5575,28.0895,28.6450,29.2822,29.9252,31.1306,31.8255,32.1818,32.4969,33.6459,34.3899,34.8570,35.2753,35.7706,36.3482,36.9503,37.5217,38.0358,38.5060,38.9944,39.5304,40.0761,40.6200,41.1443,41.6626,42.1831,42.7123,43.2409,43.7627,44.2862,44.8185,45.3567,45.8987,46.4349,46.9588,47.4705,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1612,51.6909,52.2241,52.7494,53.2671,53.7838,54.3128,54.8565,55.3907,55.9210,56.4352,56.9487,57.4834,58.0147,58.5536,59.0766
Player40OnsetTimes,22.6808,25.2984,26.0473,26.4393,26.7891,27.7269,28.3182,28.7311,29.1937,30.3339,30.9743,31.3620,32.2689,32.9190,33.4302,34.2819,34.8927,35.3777,35.8397,36.3318,36.8649,37.4320,38.0004,38.5255,39.0310,39.5304,40.0388,40.5663,41.1098,41.6626,42.1993,42.7123,43.2230,43.7449,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,57.9982,58.5346,59.0766
Player41OnsetTimes,22.8533,24.9380,25.5523,26.2053,26.9168,27.5575,28.0732,28.6273,29.2646,29.9252,31.1306,31.8255,32.1818,32.4969,33.6459,34.3899,34.8570,35.2753,35.7706,36.3482,36.9503,37.5217,38.0358,38.5060,38.9944,39.5304,40.0947,40.6375,41.1617,41.6626,42.1637,42.6956,43.2409,43.7802,44.3051,44.8344,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5352,49.0739,49.5986,50.1034,50.6100,51.1434,51.6909,52.2241,52.7494,53.2671,53.7838,54.3128,54.8565,55.3907,55.9210,56.4352,56.9487,57.4834,58.0147,58.5536,59.0934
Player42OnsetTimes,22.9843,25.0692,25.5923,26.1412,26.8269,27.5256,28.1071,28.6780,29.3012,29.9252,31.0964,31.7917,32.1660,32.5135,33.6975,34.4239,34.8382,35.2390,35.7524,36.3482,36.9663,37.5384,38.0358,38.5060,38.9944,39.5104,40.0563,40.6200,41.1617,41.6791,42.1831,42.6956,43.2230,43.7627,44.3051,44.8344,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5352,49.0739,49.5986,50.1034,50.6100,51.1434,51.6909,52.2241,52.7494,53.2671,53.7838,54.3128,54.8565,55.3907,55.9210,56.4352,56.9487,57.4834,58.0147,58.5536,59.0766
Player43OnsetTimes,23.9749,25.0186,25.5392,26.1283,26.8401,27.5409,28.1071,28.6616,29.2646,29.8899,31.0964,31.8085,32.1818,32.5135,33.6625,34.3899,34.8213,35.2390,35.7524,36.3482,36.9503,37.5036,38.0004,38.4887,38.9944,39.5304,40.0761,40.6200,41.1443,41.6626,42.1831,42.6956,43.2230,43.7627,44.3051,44.8344,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3305,54.8565,55.3716,55.8831,56.4187,56.9658,57.5026,58.0147,58.5346,59.0577
Player44OnsetTimes,22.8133,24.8981,25.5523,26.2320,26.9565,27.5904,28.0732,29.1036,29.7488,30.0664,30.5650,31.7294,32.4778,32.8662,33.5913,34.0548,34.5449,35.2038,35.9253,36.5434,37.0361,37.4495,37.8929,38.4168,38.9944,39.5820,40.1299,40.6375,41.1264,41.6263,42.1453,42.6956,43.2409,43.7802,44.3051,44.8185,45.3392,45.8617,46.3988,46.9406,47.4705,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1434,51.6736,52.2034,52.7494,53.2856,53.8028,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.5026,58.0325,58.5536,59.0766
Player45OnsetTimes,22.4004,24.9910,25.9416,26.5539,26.9973,27.3833,28.2836,28.9602,29.4463,30.2627,30.7306,31.1883,32.4613,33.2435,33.6103,33.9985,34.9442,35.6399,36.0621,36.3671,36.7406,37.2707,37.9281,38.5800,39.1379,39.5992,40.0388,40.5159,41.0552,41.6427,42.2188,42.7505,43.2409,43.7275,44.2501,44.8004,45.3567,45.8987,46.4186,46.9225,47.4340,47.9713,48.5175,49.0569,49.5807,50.1034,50.6100,51.1262,51.6545,52.2034,52.7494,53.2671,53.7838,54.3128,54.8371,55.3716,55.9013,56.4187,56.9487,57.4834,58.0147,58.5346,59.0577
Player46OnsetTimes,22.6301,25.2323,26.0196,26.4514,26.8269,27.7430,28.3182,28.7142,29.1770,30.3518,31.0096,31.3972,32.2525,32.8662,33.3905,34.3176,34.9442,35.4118,35.8397,36.3151,36.8473,37.4320,38.0004,38.5255,39.0310,39.5304,40.0388,40.5663,41.1098,41.6626,42.1993,42.7123,43.2230,43.7449,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,57.9982,58.5346,59.0766
Player47OnsetTimes,22.5132,25.1230,25.9927,26.5147,26.9168,27.7602,28.2664,28.6616,29.6426,30.2627,30.5848,31.4670,32.2000,32.7801,33.3366,34.3899,35.0646,35.4822,35.8213,36.2300,36.7935,37.4320,38.0535,38.5800,39.0489,39.5104,40.0203,40.5663,41.1264,41.6791,42.1993,42.7123,43.2230,43.7449,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3305,54.8565,55.3716,55.8831,56.4187,56.9658,57.5026,58.0147,58.5346,59.0577
Player48OnsetTimes,22.8012,24.8847,25.5392,26.2320,26.9565,27.5904,28.0732,29.1036,29.7488,30.0664,30.5650,31.7294,32.4778,32.8662,33.5913,34.0548,34.5449,35.2038,35.9253,36.5434,37.0361,37.4495,37.8929,38.4168,38.9944,39.5820,40.1299,40.6375,41.1264,41.6263,42.1453,42.6956,43.2409,43.7802,44.3051,44.8185,45.3392,45.8617,46.3988,46.9406,47.4705,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1434,51.6736,52.2034,52.7494,53.2856,53.8028,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.5026,58.0325,58.5536,59.0766
Player49OnsetTimes,22.6933,25.3115,26.0473,26.4266,26.7749,27.7269,28.3363,28.7509,29.1937,30.2984,30.9408,31.3620,32.3206,32.9706,33.4302,34.2122,34.8213,35.3612,35.8729,36.3847,36.8996,37.4320,37.9635,38.4887,39.0122,39.5482,40.0761,40.6028,41.1264,41.6427,42.1637,42.6956,43.2230,43.7627,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,57.9982,58.5346,59.0766
Player50OnsetTimes,22.4639,25.0692,25.9671,26.5281,26.9440,27.7602,28.2488,28.6450,29.6596,30.2984,30.6036,31.4498,32.1660,32.7443,33.3366,33.8933,34.5631,35.3448,36.0621,36.5953,36.9837,37.3582,37.8401,38.4343,39.0671,39.6501,40.1494,40.6028,41.0739,41.6095,42.1831,42.7505,43.2763,43.7802,44.2862,44.8004,45.3392,45.8792,46.4186,46.9588,47.4880,48.0058,48.5175,49.0374,49.5631,50.1034,50.6470,51.1792,51.6909,52.2034,52.7265,53.2671,53.8028,54.3305,54.8565,55.3716,55.9013,56.4352,56.9658,57.5026,58.0325,58.5536,59.0766
Player51OnsetTimes,22.9595,25.0438,25.5923,26.1678,26.8524,27.5256,28.0895,28.6616,29.3012,29.9252,31.0964,31.7917,32.1660,32.5135,33.6975,34.4239,34.8382,35.2390,35.7524,36.3482,36.9663,37.5384,38.0358,38.5060,38.9944,39.5304,40.0761,40.6200,41.1443,41.6626,42.1831,42.7123,43.2409,43.7627,44.2862,44.8185,45.3567,45.8987,46.4186,46.9406,47.4705,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1612,51.6909,52.2241,52.7494,53.2671,53.7838,54.3128,54.8565,55.3907,55.9210,56.4352,56.9487,57.4834,58.0147,58.5536,59.0766
Player52OnsetTimes,22.5132,25.1230,25.9927,26.5147,26.9168,27.7602,28.2664,28.6616,29.1568,30.4034,31.0791,31.4142,32.1660,32.7801,33.3560,33.8933,34.5449,35.3289,36.0451,36.5790,36.9837,37.3758,37.8572,38.4343,39.0489,39.6157,40.1299,40.6200,41.1098,41.6263,42.1637,42.7123,43.2578,43.7802,44.2862,44.8004,45.3392,45.8792,46.4186,46.9406,47.4522,47.9713,48.4978,49.0374,49.5807,50.1217,50.6470,51.1612,51.6736,52.2034,52.7494,53.2856,53.8028,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.5026,58.0325,58.5536,59.0766
Player53OnsetTimes,22.9307,25.0044,25.5652,26.1678,26.8781,27.5575,28.0895,28.6450,29.2822,29.9252,30.5287,31.2219,32.0242,32.7965,33.5007,34.0378,34.6137,35.3126,35.9942,36.5607,37.0187,37.4495,37.9281,38.4706,39.0489,39.6157,40.1494,40.6375,41.1264,41.6427,42.1831,42.7303,43.2763,43.7976,44.3051,44.8185,45.3567,45.8987,46.4349,46.9588,47.4880,48.0058,48.5352,49.0739,49.5986,50.1217,50.6470,51.1612,51.6909,52.2241,52.7729,53.3028,53.8199,54.3305,54.8565,55.3907,55.9210,56.4549,56.9818,57.5026,58.0325,58.5710,59.0934
Player54OnsetTimes,22.5012,25.1098,25.9791,26.5019,26.9036,27.7602,28.2836,28.6780,29.1568,30.3696,31.0452,31.4142,32.2334,32.8486,33.3905,33.8739,34.5065,35.2949,36.0451,36.6135,37.0187,37.3949,37.8572,38.4168,39.0310,39.6157,40.1494,40.6200,41.0915,41.6095,42.1637,42.7303,43.2763,43.7976,44.3051,44.8004,45.3198,45.8617,46.4186,46.9588,47.4705,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1434,51.6736,52.2034,52.7494,53.2856,53.8028,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.5026,58.0325,58.5536,59.0766
Player55OnsetTimes,22.7227,25.3243,26.0338,26.4007,26.7626,27.7602,28.3736,28.7678,29.1770,30.2627,30.9233,31.3620,32.3551,33.0044,33.4481,34.1579,34.7351,35.3126,35.8905,36.4370,36.9322,37.4320,37.9455,38.4706,39.0122,39.5482,40.0761,40.6028,41.1264,41.6427,42.1637,42.6956,43.2230,43.7627,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,57.9982,58.5346,59.0766
Player56OnsetTimes,22.5539,25.1639,26.0060,26.4896,26.8781,27.7430,28.2836,28.6780,29.1568,30.3696,31.0452,31.4142,32.2166,32.8318,33.3731,34.3530,34.9966,35.4285,35.8047,36.2639,36.8290,37.4495,38.0358,38.5622,39.0310,39.5104,40.0203,40.5663,41.1264,41.6791,42.1993,42.7123,43.2230,43.7449,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3305,54.8565,55.3716,55.8831,56.4187,56.9658,57.5026,58.0147,58.5346,59.0577
Player57OnsetTimes,22.6557,25.2717,26.0338,26.4393,26.8018,27.7430,28.3363,28.7311,29.1770,30.3159,30.9743,31.3805,32.2866,32.9190,33.4133,34.2642,34.8753,35.3777,35.8563,36.3482,36.8824,37.4320,37.9822,38.5060,39.0122,39.5304,40.0563,40.5832,41.1264,41.6626,42.1831,42.6956,43.2067,43.7449,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,57.9982,58.5346,59.0766
Player58OnsetTimes,24.8419,25.3689,25.8870,26.2053,26.6490,27.8961,28.5883,28.8535,29.3184,30.2451,30.7843,31.2219,32.3551,33.0891,33.5183,34.0886,34.5972,35.2038,35.8563,36.4538,36.9663,37.4320,37.8929,38.3991,38.9571,39.5304,40.0947,40.6200,41.1098,41.5919,42.1103,42.6616,43.2230,43.7627,44.2862,44.8004,45.3198,45.8444,46.3819,46.9225,47.4522,47.9713,48.4804,49.0013,49.5464,50.0853,50.6100,51.1262,51.6378,52.1654,52.7051,53.2484,53.7838,54.3128,54.8371,55.3523,55.8662,56.4018,56.9309,57.4649,57.9982,58.5346,59.0577
Player59OnsetTimes,22.3761,24.9778,25.9416,26.5681,27.0105,27.3993,28.2836,28.9426,29.4268,30.2812,30.7665,31.2057,32.4254,33.1919,33.5913,34.0548,34.5449,35.2038,35.9253,36.5434,37.0187,37.4320,37.8929,38.4343,39.0122,39.5820,40.1112,40.6200,41.1264,41.6427,42.1637,42.6956,43.2409,43.7802,44.3051,44.8185,45.3392,45.8617,46.3988,46.9406,47.4705,47.9875,48.4978,49.0194,49.5631,50.1034,50.6281,51.1434,51.6736,52.2034,52.7494,53.2856,53.8028,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,58.0147,58.5536,59.0766
Player60OnsetTimes,23.9485,24.9910,25.5116,26.1146,26.8524,27.5575,28.1071,28.6450,29.2468,29.8899,31.1135,31.8255,32.1818,32.4969,33.6459,34.3899,34.8382,35.2567,35.7524,36.3318,36.9322,37.5036,38.0188,38.5060,38.9944,39.5104,40.0563,40.6028,41.1443,41.6626,42.1831,42.6956,43.2230,43.7627,44.3051,44.8344,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.1034,50.6281,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3305,54.8728,55.3907,55.9013,56.4187,56.9487,57.4834,58.0147,58.5536,59.0766
Player61OnsetTimes,23.3504,24.9105,25.4216,26.0881,26.8903,27.6233,28.1585,28.6616,29.2468,29.8695,31.1135,31.8608,32.2166,32.5135,33.6280,34.3530,34.8213,35.2753,35.7884,36.3671,36.9503,37.5036,38.0188,38.5060,38.9944,39.5104,40.0563,40.6200,41.1617,41.6791,42.1831,42.6956,43.2230,43.7627,44.3051,44.8344,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1612,51.6909,52.2241,52.7494,53.2671,53.7838,54.3128,54.8565,55.3907,55.9210,56.4352,56.9487,57.4834,58.0147,58.5536,59.0766
Player62OnsetTimes,22.4764,25.0835,25.9791,26.5281,26.9290,27.7430,28.2488,28.6450,29.1568,30.4396,31.1135,31.4322,32.1477,32.7443,33.3366,33.8933,34.5631,35.3448,36.0621,36.5953,36.9837,37.3582,37.8401,38.4343,39.0671,39.6501,40.1494,40.6028,41.0739,41.5919,42.1637,42.7303,43.2763,43.7976,44.3051,44.8185,45.3392,45.8617,46.3988,46.9406,47.4705,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1434,51.6736,52.2034,52.7494,53.2856,53.8028,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.5026,58.0325,58.5536,59.0766
Player63OnsetTimes,22.9715,25.0570,25.5923,26.1541,26.8401,27.5256,28.0895,28.6616,29.3012,29.9252,31.0964,31.7917,32.1660,32.5135,33.6975,34.4239,34.8382,35.2390,35.7524,36.3482,36.9663,37.5384,38.0358,38.5060,38.9944,39.5304,40.0761,40.6200,41.1443,41.6626,42.1831,42.7123,43.2409,43.7627,44.2862,44.8185,45.3567,45.8987,46.4186,46.9406,47.4705,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1612,51.6909,52.2241,52.7494,53.2671,53.7838,54.3128,54.8565,55.3907,55.9210,56.4352,56.9487,57.4834,58.0147,58.5536,59.0766
Player64OnsetTimes,22.4264,25.0314,25.9671,26.5539,26.9696,27.3678,28.3182,28.9978,29.4642,30.2285,30.6769,31.6083,32.2866,32.7621,33.2622,34.3530,35.0820,35.5342,35.8563,36.2300,36.7566,37.3949,38.0358,38.5977,39.0671,39.5104,40.0020,40.5499,41.1264,41.6791,42.1993,42.7123,43.2230,43.7449,44.2862,44.8344,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.1034,50.6281,51.1434,51.6545,52.1850,52.7265,53.2671,53.8028,54.3305,54.8565,55.3716,55.8831,56.4187,56.9658,57.5026,58.0147,58.5346,59.0577
Player65OnsetTimes,23.5863,25.1513,25.6775,26.1678,26.7891,27.4464,28.0376,28.6616,29.3184,29.9425,31.0791,31.7739,32.1660,32.5135,33.6797,34.4077,34.8382,35.2390,35.7338,36.3318,36.9503,37.5217,38.0188,38.4887,38.9748,39.5104,40.0761,40.6375,41.1617,41.6626,42.1637,42.6776,43.2067,43.7627,44.3051,44.8344,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.1034,50.6281,51.1434,51.6736,52.2034,52.7494,53.2856,53.8028,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,58.0147,58.5536,59.0766
Player66OnsetTimes,22.3761,24.9778,25.9416,26.5681,27.0105,27.3993,28.2836,28.9426,29.4268,30.2812,30.7665,31.2057,32.4254,33.1919,33.5913,34.0548,34.5449,35.2038,35.9253,36.5434,37.0187,37.4320,37.8929,38.4343,39.0122,39.5820,40.1112,40.6200,41.1264,41.6427,42.1637,42.6956,43.2409,43.7802,44.3051,44.8185,45.3392,45.8617,46.3988,46.9406,47.4705,47.9875,48.4978,49.0194,49.5631,50.1034,50.6281,51.1434,51.6736,52.2034,52.7494,53.2856,53.8028,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,58.0147,58.5536,59.0766
Player67OnsetTimes,22.4264,25.0314,25.9671,26.5539,26.9696,27.3678,28.3182,28.9978,29.4642,30.2285,30.6769,31.6083,32.2866,32.7621,33.2622,34.3530,35.0820,35.5342,35.8563,36.2300,36.7566,37.3949,38.0358,38.5977,39.0671,39.5104,40.0020,40.5499,41.1264,41.6791,42.1993,42.7123,43.2230,43.7449,44.2862,44.8344,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.1034,50.6281,51.1434,51.6545,52.1850,52.7265,53.2671,53.8028,54.3305,54.8565,55.3716,55.8831,56.4187,56.9658,57.5026,58.0147,58.5346,59.0577
Player68OnsetTimes,22.8692,24.9514,25.5652,26.2053,26.9168,27.5575,28.0732,28.6273,29.2646,29.9252,30.5287,31.2219,32.0242,32.7965,33.5007,34.0378,34.6137,35.3126,35.9942,36.5607,37.0187,37.4495,37.9281,38.4706,39.0489,39.6157,40.1494,40.6375,41.1264,41.6427,42.1831,42.7303,43.2763,43.7976,44.3226,44.8344,45.3567,45.8987,46.4349,46.9588,47.4880,48.0058,48.5352,49.0739,49.5986,50.1217,50.6470,51.1792,51.7075,52.2241,52.7494,53.2856,53.8199,54.3481,54.8728,55.3907,55.9210,56.4549,56.9818,57.5026,58.0325,58.5710,59.0934
Player69OnsetTimes,22.5382,25.1370,25.9791,26.4896,26.8903,27.7602,28.2836,28.6780,29.1568,30.3696,31.0452,31.4142,32.2166,32.8318,33.3731,34.3530,34.9966,35.4285,35.8047,36.2639,36.8290,37.4495,38.0358,38.5622,39.0310,39.5104,40.0203,40.5663,41.1264,41.6791,42.1993,42.7123,43.2230,43.7449,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3305,54.8565,55.3716,55.8831,56.4187,56.9658,57.5026,58.0147,58.5346,59.0577
Player70OnsetTimes,23.3216,24.8847,25.4344,26.1146,26.9168,27.6233,28.1413,28.6450,29.2292,29.8695,31.1135,31.8608,32.2166,32.5135,33.6280,34.3530,34.8213,35.2753,35.7884,36.3671,36.9503,37.5036,38.0188,38.5060,38.9944,39.5104,40.0563,40.6200,41.1617,41.6791,42.1831,42.6956,43.2230,43.7627,44.3051,44.8344,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1612,51.6909,52.2241,52.7494,53.2671,53.7838,54.3128,54.8565,55.3907,55.9210,56.4352,56.9487,57.4834,58.0147,58.5536,59.0766
Player71OnsetTimes,22.5795,25.1918,26.0060,26.4777,26.8652,27.7602,28.3000,28.6964,29.1568,30.3518,31.0283,31.4142,32.2334,32.8486,33.3731,34.3349,34.9785,35.4285,35.8213,36.2799,36.8290,37.4320,38.0188,38.5432,39.0310,39.5304,40.0388,40.5663,41.1098,41.6626,42.1993,42.7123,43.2230,43.7449,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,57.9982,58.5346,59.0766
Player72OnsetTimes,22.5665,25.1779,26.0060,26.4896,26.8781,27.7430,28.2836,28.6780,29.1568,30.3696,31.0452,31.4142,32.2166,32.8318,33.3731,34.3530,34.9966,35.4285,35.8047,36.2639,36.8290,37.4495,38.0358,38.5622,39.0310,39.5104,40.0203,40.5663,41.1264,41.6791,42.1993,42.7123,43.2230,43.7449,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,57.9982,58.5346,59.0766
Player73OnsetTimes,23.0487,25.1370,25.6207,26.1283,26.7891,27.4921,28.0895,28.6780,29.3012,29.9252,31.0964,31.7917,32.1660,32.5135,33.6975,34.4239,34.8382,35.2390,35.7524,36.3482,36.9663,37.5384,38.0358,38.5060,38.9944,39.5104,40.0563,40.6200,41.1617,41.6791,42.1831,42.6956,43.2230,43.7627,44.3051,44.8344,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1612,51.6909,52.2241,52.7494,53.2671,53.7838,54.3128,54.8565,55.3907,55.9210,56.4352,56.9487,57.4834,58.0147,58.5536,59.0766
Player74OnsetTimes,22.5539,25.1639,26.0060,26.4896,26.8781,27.7430,28.2836,28.6780,29.1568,30.3696,31.0452,31.4142,32.2166,32.8318,33.3731,34.3530,34.9966,35.4285,35.8047,36.2639,36.8290,37.4495,38.0358,38.5622,39.0310,39.5104,40.0203,40.5663,41.1264,41.6791,42.1993,42.7123,43.2230,43.7449,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3305,54.8565,55.3716,55.8831,56.4187,56.9658,57.5026,58.0147,58.5346,59.0577
Player75OnsetTimes,23.2821,25.3689,25.6775,26.3331,26.9565,27.4921,27.9682,29.1397,29.8512,30.1206,30.6036,31.6777,32.3905,32.7965,33.6280,34.1411,34.5972,35.1875,35.8563,36.4916,37.0187,37.4662,37.9107,38.4168,38.9748,39.5482,40.0947,40.6200,41.1264,41.6263,42.1453,42.6776,43.2230,43.7627,44.2862,44.8004,45.3198,45.8617,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3128,54.8371,55.3716,55.9013,56.4187,56.9487,57.4834,58.0147,58.5346,59.0577
Player76OnsetTimes,22.7352,25.3386,26.0473,26.4127,26.7626,27.7269,28.3546,28.7678,29.1937,30.2812,30.9233,31.3446,32.3206,32.9872,33.4481,34.1942,34.7866,35.3448,35.8729,36.3847,36.8996,37.4320,37.9635,38.4887,39.0122,39.5482,40.0761,40.6028,41.1264,41.6427,42.1637,42.6956,43.2230,43.7627,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,57.9982,58.5346,59.0766
Player77OnsetTimes,22.4764,25.0835,25.9791,26.5281,26.9290,27.7430,28.2488,28.6450,29.1568,30.4396,31.1135,31.4322,32.1477,32.7443,33.3366,33.8933,34.5631,35.3448,36.0621,36.5953,36.9837,37.3582,37.8401,38.4343,39.0671,39.6501,40.1494,40.6028,41.0739,41.5919,42.1637,42.7303,43.2763,43.7976,44.3051,44.8185,45.3392,45.8617,46.3988,46.9406,47.4705,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1434,51.6736,52.2034,52.7494,53.2856,53.8028,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.5026,58.0325,58.5536,59.0766
Player78OnsetTimes,23.6377,25.2044,25.7202,26.1678,26.7497,27.4144,28.0376,28.6780,29.3364,29.9425,31.0452,31.7294,32.1293,32.5135,33.7316,34.4565,34.8382,35.2038,35.6967,36.3151,36.9663,37.5548,38.0535,38.5060,38.9748,39.4924,40.0563,40.6200,41.1617,41.6791,42.1831,42.6956,43.2230,43.7627,44.3051,44.8344,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.1034,50.6281,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3305,54.8728,55.3907,55.9013,56.4187,56.9487,57.4834,58.0147,58.5536,59.0766
Player79OnsetTimes,23.6119,25.1779,25.7058,26.1803,26.7749,27.4306,28.0376,28.6616,29.3184,29.9425,31.0622,31.7497,32.1477,32.5135,33.6975,34.4239,34.8382,35.2218,35.7338,36.3482,36.9663,37.5217,38.0188,38.4887,38.9748,39.5104,40.0761,40.6375,41.1617,41.6626,42.1637,42.6776,43.2067,43.7627,44.3051,44.8344,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.1034,50.6281,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3305,54.8728,55.3907,55.9013,56.4187,56.9487,57.4834,58.0147,58.5536,59.0766
Player80OnsetTimes,22.9307,25.0044,25.5652,26.1678,26.8781,27.5575,28.0895,28.6450,29.2822,29.9252,30.5287,31.2219,32.0242,32.7965,33.5007,34.0378,34.6137,35.3126,35.9942,36.5607,37.0187,37.4495,37.9281,38.4706,39.0489,39.6157,40.1494,40.6375,41.1264,41.6427,42.1831,42.7303,43.2763,43.7976,44.3051,44.8185,45.3567,45.8987,46.4349,46.9588,47.4880,48.0058,48.5352,49.0739,49.5986,50.1217,50.6470,51.1612,51.6909,52.2241,52.7729,53.3028,53.8199,54.3305,54.8565,55.3907,55.9210,56.4549,56.9818,57.5026,58.0325,58.5710,59.0934
