Key,Value
BPM,120.0000
StartTime,21.2211
scoreCounter,63.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Player9OnsetTimes,23.4308,24.9910,25.5790,26.1803,26.8652,27.5256,28.0732,28.6450,29.2822,29.9252,31.0964,31.7917,32.1660,32.5135,33.6975,34.4239,34.8382,35.2390,35.7524,36.3482,36.9503,37.5217,38.0358,38.5060,38.9944,39.5104,40.0563,40.6200,41.1617,41.6791,42.1831,42.6956,43.2230,43.7627,44.3051,44.8344,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1434,51.6736,52.2034,52.7494,53.2856,53.8028,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.5026,58.0325,58.5536,59.0766
Player10OnsetTimes,22.6808,25.2984,26.0473,26.4393,26.7891,27.7269,28.3182,28.7311,29.1937,30.3339,30.9743,31.3620,32.2689,32.9190,33.4302,34.2819,34.8927,35.3777,35.8397,36.3318,36.8649,37.4320,38.0004,38.5255,39.0310,39.5304,40.0388,40.5663,41.1098,41.6626,42.1993,42.7123,43.2230,43.7449,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,57.9982,58.5346,59.0766
Player11OnsetTimes,23.1123,25.2044,25.6344,26.0881,26.7371,27.4607,28.1071,28.7142,29.3364,29.9252,31.0283,31.7294,32.1477,32.5309,33.7489,34.4565,34.8382,35.2038,35.7169,36.3482,36.9837,37.5384,38.0188,38.4887,38.9944,39.5304,40.0761,40.6200,41.1443,41.6626,42.1831,42.7123,43.2409,43.7627,44.2862,44.8185,45.3567,45.8987,46.4186,46.9406,47.4705,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1612,51.6909,52.2034,52.7265,53.2671,53.8028,54.3305,54.8565,55.3716,55.9013,56.4352,56.9658,57.5026,58.0325,58.5536,59.0766
Player12OnsetTimes,22.6557,25.2717,26.0338,26.4393,26.8018,27.7430,28.3363,28.7311,29.1770,30.3159,30.9743,31.3805,32.2866,32.9190,33.4133,34.2642,34.8753,35.3777,35.8563,36.3482,36.8824,37.4320,37.9822,38.5060,39.0122,39.5304,40.0563,40.5832,41.1264,41.6626,42.1831,42.6956,43.2067,43.7449,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,57.9982,58.5346,59.0766
Player13OnsetTimes,22.5132,25.1230,25.9927,26.5147,26.9168,27.7602,28.2664,28.6616,29.6426,30.2627,30.5848,31.4670,32.2000,32.7801,33.3366,34.3899,35.0646,35.4822,35.8213,36.2300,36.7935,37.4320,38.0535,38.5800,39.0489,39.5104,40.0203,40.5663,41.1264,41.6791,42.1993,42.7123,43.2230,43.7449,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3305,54.8565,55.3716,55.8831,56.4187,56.9658,57.5026,58.0147,58.5346,59.0577
Player14OnsetTimes,23.8332,24.8706,25.3958,26.0881,26.9168,27.6397,28.1413,28.6273,29.2126,30.5287,31.1661,31.4142,32.0416,32.6548,33.3366,33.9648,34.6489,35.3777,36.0268,36.5267,36.9322,37.3582,37.8745,38.4706,39.0671,39.6157,40.1112,40.5832,41.0915,41.6263,42.1831,42.7303,43.2578,43.7802,44.2862,44.8004,45.3392,45.8792,46.4186,46.9588,47.4880,48.0058,48.5175,49.0374,49.5631,50.1034,50.6470,51.1792,51.6909,52.2034,52.7265,53.2671,53.8028,54.3305,54.8565,55.3716,55.9013,56.4352,56.9658,57.5026,58.0325,58.5536,59.0766
Player15OnsetTimes,22.6049,25.2185,26.0196,26.4644,26.8401,27.7430,28.3000,28.6964,29.6254,30.2285,30.5650,31.5029,32.2525,32.7965,33.3192,34.3530,35.0305,35.4646,35.8213,36.2465,36.7935,37.4320,38.0535,38.5800,39.0489,39.5104,40.0203,40.5663,41.1264,41.6791,42.1993,42.7123,43.2230,43.7449,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,57.9982,58.5346,59.0766
Player16OnsetTimes,22.4004,24.9910,25.9416,26.5539,26.9973,27.3833,28.2836,28.9602,29.4463,30.2627,30.7306,31.1883,32.4613,33.2435,33.6103,33.9985,34.9442,35.6399,36.0621,36.3671,36.7406,37.2707,37.9281,38.5800,39.1379,39.5992,40.0388,40.5159,41.0552,41.6427,42.2188,42.7505,43.2409,43.7275,44.2501,44.8004,45.3567,45.8987,46.4186,46.9225,47.4340,47.9713,48.5175,49.0569,49.5807,50.1034,50.6100,51.1262,51.6545,52.2034,52.7494,53.2671,53.7838,54.3128,54.8371,55.3716,55.9013,56.4187,56.9487,57.4834,58.0147,58.5346,59.0577
Player17OnsetTimes,22.4264,25.0314,25.9671,26.5539,26.9696,27.3678,28.3182,28.9978,29.4642,30.2285,30.6769,31.6083,32.2866,32.7621,33.7662,34.3176,34.6846,35.1534,35.7706,36.4202,37.0187,37.5217,37.9822,38.4537,38.9748,39.5304,40.0947,40.6375,41.1443,41.6427,42.1453,42.6776,43.2230,43.7802,44.3226,44.8344,45.3392,45.8617,46.3988,46.9406,47.4705,47.9875,48.4978,49.0194,49.5631,50.1034,50.6281,51.1434,51.6545,52.1850,52.7265,53.2671,53.8028,54.3305,54.8565,55.3716,55.8831,56.4187,56.9658,57.5026,58.0147,58.5346,59.0577
Player18OnsetTimes,22.4004,24.9910,25.9416,26.5539,26.9973,27.3833,28.2836,28.9602,29.4463,30.2627,30.7306,31.1883,32.4613,33.2435,33.6103,33.9985,34.9442,35.6399,36.0621,36.3671,36.7406,37.2707,37.9281,38.5800,39.1379,39.5992,40.0388,40.5159,41.0552,41.6427,42.2188,42.7505,43.2409,43.7275,44.2501,44.8004,45.3567,45.8987,46.4186,46.9225,47.4340,47.9713,48.5175,49.0569,49.5807,50.1034,50.6100,51.1262,51.6545,52.2034,52.7494,53.2671,53.7838,54.3128,54.8371,55.3716,55.9013,56.4187,56.9487,57.4834,58.0147,58.5346,59.0577
