Key,Value
BPM,60.0000
StartTime,188.7219
scoreCounter,23.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Mean Onset List,190.3094,192.2555,193.3996,194.4886,195.5274,196.5636,197.5972,198.6277,199.6624,200.6946,201.7227,202.7523,203.7810,204.8093,205.8356,206.8632,207.8934,208.9201,209.9479,210.9728,211.9975,213.0223,214.0468
Mean Interval List,0.0000,1.0663,1.0218,1.0165,1.0132,1.0106,1.0070,1.0107,1.0078,1.0051,1.0065,1.0061,1.0058,1.0034,1.0038,1.0064,1.0024,1.0045,1.0020,1.0033,1.0005,1.0019,1.0043
Timestamps,170.0829,171.2571,172.2590,173.3172,183.8149,184.6142,185.7025,186.7305,187.7382,188.7219,189.4396,190.5125,191.6335,192.6880,193.7257,194.7471,195.7346,196.6990,197.8057,198.7775,199.7588,200.8184,201.8375,202.8608,203.8413,204.8783,205.9555,206.9042,207.9747,208.9524,210.0061,210.9749,212.0272,213.0999,214.0396
Player1OnsetTimes,189.9803,192.0719,193.3996,194.5787,195.6274,196.6058,197.5697,198.5769,199.6329,200.7065,201.7594,202.7841,203.7936,204.8003,205.8138,206.8569,207.9116,208.9524,209.9740,210.9749,211.9798,213.0039,214.0396
Player2OnsetTimes,189.9474,192.0546,193.4150,194.6088,195.6422,196.5901,197.5380,198.5466,199.6329,200.7241,201.7747,202.7841,203.7780,204.7840,205.8138,206.8569,207.9116,208.9524,209.9740,210.9749,211.9798,213.0039,214.0396
Player3OnsetTimes,189.8778,192.5033,193.9115,194.7776,195.4423,196.2612,197.3504,198.5924,199.8053,200.8647,201.7897,202.6899,203.6689,204.7377,205.8450,206.9190,207.9422,208.9184,209.9115,210.9435,211.9953,213.0354,214.0543
Player4OnsetTimes,190.2099,192.3151,193.4768,194.4863,195.4725,196.5127,197.5852,198.6536,199.6946,200.7065,201.7126,202.7366,203.7780,204.8154,205.8450,206.8726,207.8960,208.9184,209.9427,210.9749,212.0106,213.0354,214.0543
Player5OnsetTimes,190.1942,192.3000,193.4768,194.4863,195.4725,196.5127,197.5852,198.6536,199.6946,200.7065,201.7126,202.7366,203.7780,204.8154,205.8450,206.8726,207.8960,208.9184,209.9427,210.9749,212.0106,213.0354,214.0543
Player6OnsetTimes,189.9309,192.0392,193.3996,194.6088,195.6575,196.6058,197.5545,198.5617,199.6329,200.7241,201.7747,202.7841,203.7780,204.7840,205.8138,206.8569,207.9116,208.9524,209.9740,210.9749,211.9798,213.0039,214.0396
Player7OnsetTimes,190.0990,192.1954,193.4464,194.5325,195.5335,196.5436,197.5697,198.6233,199.6794,200.7241,201.7434,202.7525,203.7616,204.8003,205.8450,206.8875,207.9116,208.9184,209.9271,210.9586,211.9953,213.0354,214.0695
Player8OnsetTimes,190.0492,192.1324,193.4150,194.5471,195.5808,196.5746,197.5697,198.5924,199.6492,200.7065,201.7434,202.7685,203.7936,204.8154,205.8295,206.8569,207.8960,208.9348,209.9588,210.9749,211.9953,213.0190,214.0543
Player9OnsetTimes,190.0324,192.1324,193.4310,194.5627,195.5808,196.5589,197.5545,198.5924,199.6641,200.7241,201.7594,202.7685,203.7780,204.8003,205.8295,206.8726,207.9116,208.9348,209.9588,210.9749,211.9953,213.0190,214.0543
Player10OnsetTimes,190.4814,192.0546,193.0210,194.2078,195.5178,196.7603,197.8057,198.6996,199.5868,200.5667,201.6500,202.7841,203.8732,204.8783,205.8450,206.8259,207.8499,208.9031,209.9588,211.0044,212.0272,213.0354,214.0396
Player11OnsetTimes,190.1150,192.2104,193.4464,194.5325,195.5335,196.5436,197.5697,198.6233,199.6794,200.7241,201.7434,202.7525,203.7616,204.8003,205.8450,206.8726,207.8960,208.9184,209.9427,210.9749,212.0106,213.0354,214.0543
Player12OnsetTimes,190.2559,192.3626,193.4920,194.4553,195.4269,196.4810,197.5852,198.6688,199.7101,200.7065,201.6975,202.7209,203.7616,204.8154,205.8605,206.8875,207.8960,208.9031,209.9271,210.9586,211.9953,213.0354,214.0543
Player13OnsetTimes,190.5715,192.1324,193.0382,194.1766,195.4725,196.7450,197.8214,198.7306,199.6024,200.5667,201.6357,202.7685,203.8573,204.8783,205.8450,206.8259,207.8499,208.9031,209.9588,211.0044,212.0272,213.0354,214.0396
Player14OnsetTimes,190.0807,192.1790,193.4310,194.5325,195.5501,196.5589,197.5852,198.6233,199.6641,200.7065,201.7283,202.7525,203.7780,204.8154,205.8450,206.8726,207.8960,208.9184,209.9427,210.9749,212.0106,213.0354,214.0543
Player15OnsetTimes,190.1942,192.3000,193.4768,194.4863,195.4725,196.5127,197.5852,198.6536,199.6946,200.7065,201.7126,202.7366,203.7780,204.8154,205.8450,206.8726,207.8960,208.9184,209.9427,210.9749,212.0106,213.0354,214.0543
Player16OnsetTimes,189.9309,192.0392,193.3996,194.6088,195.6575,196.6058,197.5545,198.5617,199.6329,200.7241,201.7747,202.7841,203.7780,204.7840,205.8138,206.8569,207.9116,208.9524,209.9740,210.9749,211.9798,213.0039,214.0396
Player17OnsetTimes,189.9803,192.0719,193.3996,194.5787,195.6274,196.6058,197.5697,198.5769,199.6329,200.7065,201.7594,202.7841,203.7936,204.8003,205.8138,206.8569,207.9116,208.9524,209.9740,210.9749,211.9798,213.0039,214.0396
Player18OnsetTimes,189.9132,192.5332,193.9115,194.7627,195.4269,196.2612,197.3660,198.6082,199.8053,200.8498,201.7747,202.6899,203.6853,204.7532,205.8450,206.9190,207.9422,208.9184,209.9115,210.9283,211.9798,213.0354,214.0695
Player19OnsetTimes,189.9803,192.0719,193.3996,194.5787,195.6274,196.6058,197.5697,198.5769,199.6329,200.7065,201.7594,202.7841,203.7936,204.8003,205.8138,206.8569,207.9116,208.9524,209.9740,210.9749,211.9798,213.0039,214.0396
Player20OnsetTimes,190.2706,192.3626,193.4768,194.4401,195.4269,196.4972,197.6011,198.6841,199.7101,200.7065,201.6975,202.7209,203.7616,204.8154,205.8605,206.8875,207.8960,208.9031,209.9271,210.9586,211.9953,213.0354,214.0543
Player21OnsetTimes,189.8778,192.5033,193.9115,194.7776,195.4423,196.2612,197.3504,198.5924,199.8053,200.8647,201.7897,202.6899,203.6689,204.7377,205.8450,206.9190,207.9422,208.9184,209.9115,210.9435,211.9953,213.0354,214.0543
Player22OnsetTimes,190.3162,192.4115,193.4920,194.4240,195.3957,196.4810,197.6169,198.6996,199.7257,200.7065,201.6828,202.7045,203.7616,204.8304,205.8771,206.8875,207.8805,208.8877,209.9271,210.9749,212.0106,213.0354,214.0543
Player23OnsetTimes,190.3763,192.4726,193.5078,194.3931,195.3492,196.4492,197.6169,198.7306,199.7588,200.7065,201.6654,202.6899,203.7616,204.8304,205.8771,206.8875,207.8805,208.8877,209.9271,210.9749,212.0106,213.0354,214.0543
Player24OnsetTimes,190.0990,192.1954,193.4464,194.5325,195.5335,196.5436,197.5697,198.6233,199.6794,200.7241,201.7434,202.7525,203.7616,204.8003,205.8450,206.8875,207.9116,208.9184,209.9271,210.9586,211.9953,213.0354,214.0695
Player25OnsetTimes,189.9636,192.0546,193.3996,194.5936,195.6422,196.6058,197.5545,198.5617,199.6329,200.7241,201.7747,202.7841,203.7780,204.7840,205.8138,206.8569,207.9116,208.9524,209.9740,210.9749,211.9798,213.0039,214.0396
Player26OnsetTimes,189.9309,192.0392,193.3996,194.6088,195.6575,196.6058,197.5545,198.5617,199.6329,200.7241,201.7747,202.7841,203.7780,204.7840,205.8138,206.8569,207.9116,208.9524,209.9740,210.9749,211.9798,213.0039,214.0396
Player27OnsetTimes,191.0096,192.0546,193.2081,194.3931,195.5656,196.6670,197.6781,198.6233,199.6024,200.6289,201.6975,202.7685,203.8087,204.8154,205.8138,206.8259,207.8651,208.9184,209.9588,210.9904,212.0106,213.0190,214.0396
Player28OnsetTimes,189.8778,192.5033,193.9115,194.7776,195.4423,196.2612,197.3504,198.5924,199.8053,200.8647,201.7897,202.6899,203.6689,204.7377,205.8450,206.9190,207.9422,208.9184,209.9115,210.9435,211.9953,213.0354,214.0543
Player29OnsetTimes,190.9458,192.5184,193.1464,193.9911,195.2105,196.6058,197.8675,198.8699,199.7101,200.5667,201.5582,202.6738,203.8243,204.9083,205.9081,206.8569,207.8345,208.8562,209.9271,210.9904,212.0272,213.0354,214.0396
Player30OnsetTimes,190.0658,192.1790,193.4464,194.5471,195.5501,196.5436,197.5697,198.6233,199.6794,200.7241,201.7434,202.7525,203.7616,204.8003,205.8450,206.8875,207.9116,208.9184,209.9271,210.9586,211.9953,213.0354,214.0695
