Key,Value
BPM,90.0000
StartTime,130.9850
scoreCounter,45.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Player9OnsetTimes,132.7282,134.2901,134.9050,136.4523,137.4018,137.8611,138.5839,139.4016,140.2251,141.7865,142.5155,142.9710,144.0581,144.7774,145.2944,146.3605,147.0288,147.5777,148.1408,149.5208,150.3104,150.7417,151.1137,151.6636,152.4602,153.3545,154.1880,154.8813,155.4808,156.0833,156.7578,157.5158,158.3114,159.8283,160.5394,161.1301,161.7627,162.4686,163.2262,163.9910,164.7045,165.3650,166.0150,166.6820,167.3798,168.1019
Player10OnsetTimes,132.9061,134.4805,134.9673,136.2280,137.1254,137.7527,138.3115,139.2043,140.2251,141.1488,142.6072,143.5476,144.0277,144.6558,145.2011,146.4527,147.2026,147.6827,148.1261,149.3503,150.1574,150.7104,151.1895,151.7702,152.5216,153.3545,154.1581,154.8654,155.4961,156.1130,156.7882,157.5329,158.3114,159.8283,160.5394,161.1454,161.7777,162.4832,163.2411,163.9910,164.7045,165.3650,166.0150,166.6820,167.3953,168.1019
Player11OnsetTimes,133.4325,134.4805,134.9977,136.2657,137.1410,137.7379,138.2795,139.1732,140.2099,141.1649,142.6373,143.5476,144.0128,144.6255,145.1703,146.4527,147.2186,147.6977,148.1261,149.3191,150.1091,150.6796,151.1895,151.8008,152.5369,153.3393,154.1275,154.8342,155.4808,156.1130,156.7882,157.5158,158.2800,159.7901,160.5242,161.1454,161.7928,162.4832,163.2262,163.9738,164.6887,165.3650,166.0312,166.6970,167.3953,168.1019
Player12OnsetTimes,132.1772,134.2594,135.2791,136.0748,136.7516,138.2163,139.0638,139.6217,140.0999,141.3522,142.1672,142.9407,143.7435,144.4987,145.2484,145.9963,146.7258,147.5607,148.3770,149.1020,149.7484,150.5061,151.3049,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6660,165.3486,166.0456,166.7439,167.4408
Player13OnsetTimes,132.8460,134.4189,134.9520,136.3118,137.2189,137.7679,138.2640,140.0292,141.0837,141.4136,142.0743,142.7968,143.6611,144.5166,145.3266,146.0443,146.6911,147.4686,148.2969,149.0853,149.7631,150.5208,151.3049,152.0387,152.7097,153.3545,154.0179,154.7266,155.4651,156.2044,156.9141,157.5947,158.2964,159.7269,160.4555,161.1454,161.8624,162.5695,163.2781,163.9738,164.6506,165.3331,166.0312,166.7439,167.4573
Player14OnsetTimes,132.2380,134.3227,135.2956,136.0432,136.7036,138.2163,139.0946,139.6523,140.1148,141.3225,142.1212,142.9256,143.7591,144.5323,145.2791,145.9963,146.6911,147.5138,148.3454,149.1020,149.7631,150.5208,151.3206,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6506,165.3331,166.0456,166.7594,167.4573
Player15OnsetTimes,132.2685,134.3691,135.3275,136.0432,136.6882,138.2014,139.0946,139.6682,140.1148,141.2924,142.0899,142.9107,143.7767,144.5476,145.2791,145.9963,146.6911,147.5138,148.3454,149.1020,149.7631,150.5208,151.3206,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9141,157.5947,158.2964,159.7427,160.4930,161.1820,161.8771,162.5695,163.2781,163.9910,164.6887,165.3650,166.0456,166.7273,167.4256
Player16OnsetTimes,132.1281,134.2134,135.2637,136.1064,136.7995,138.2163,139.0330,139.6070,140.1148,141.3832,142.1827,142.9407,143.7273,144.4827,145.2484,146.0125,146.7421,147.5607,148.3615,149.0853,149.7261,150.5061,151.3206,152.0855,152.7641,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6660,165.3486,166.0456,166.7439,167.4408
Player17OnsetTimes,132.5140,134.6043,135.3742,135.9177,137.1254,137.9715,138.5358,139.2713,140.1302,141.8817,142.6862,143.0789,143.9030,144.5476,145.1703,146.5757,147.3451,147.7430,148.0817,149.2274,150.0456,150.6950,151.2579,151.8474,152.5369,153.3087,154.0936,154.8193,155.4961,156.1433,156.8202,157.5329,158.2800,159.7753,160.5086,161.1454,161.8081,162.4981,163.2262,163.9502,164.6506,165.3331,166.0150,166.7121,167.4105,168.1019
Player18OnsetTimes,132.2238,134.3064,135.2956,136.0595,136.7202,138.2014,139.0638,139.6363,140.1148,141.3374,142.1367,142.9256,143.7435,144.5166,145.2791,146.0125,146.7083,147.5284,148.3454,149.1020,149.7631,150.5208,151.3206,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6506,165.3331,166.0456,166.7594,167.4573
Player19OnsetTimes,132.1617,134.2435,135.2791,136.0899,136.7676,138.2163,139.0483,139.6070,140.0999,141.3680,142.1827,142.9563,143.7435,144.4827,145.2325,145.9963,146.7258,147.5607,148.3770,149.1020,149.7484,150.5061,151.3049,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6660,165.3486,166.0456,166.7439,167.4408
Player20OnsetTimes,133.9417,134.4657,134.9828,136.2430,137.1254,137.7157,138.2640,139.1732,140.2099,141.1488,142.6072,143.5322,144.0128,144.6407,145.1856,146.4381,147.1872,147.6666,148.1111,149.3653,150.1733,150.7104,151.1745,151.7552,152.5057,153.3393,154.1428,154.8499,155.4808,156.0985,156.7728,157.5158,158.2964,159.8132,160.5242,161.1301,161.7777,162.4832,163.2262,163.9738,164.6887,165.3650,166.0150,166.6820,167.3798,168.1019
Player21OnsetTimes,132.1931,134.2744,135.2791,136.0748,136.7516,138.2163,139.0638,139.6217,140.0999,141.3522,142.1672,142.9407,143.7435,144.4987,145.2484,145.9963,146.7258,147.5607,148.3770,149.1020,149.7484,150.5061,151.3049,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6660,165.3486,166.0456,166.7439,167.4408
Player22OnsetTimes,132.4687,134.5585,135.3742,135.9501,137.1557,137.9715,138.5204,139.2562,140.1148,141.8973,142.7021,143.0789,143.9030,144.5476,145.1703,146.5757,147.3451,147.7430,148.0817,149.2274,150.0456,150.6950,151.2579,151.8474,152.5369,153.3087,154.0936,154.8193,155.4961,156.1433,156.8202,157.5329,158.2800,159.7753,160.5086,161.1454,161.8081,162.5139,163.2411,163.9738,164.6660,165.3331,166.0150,166.7121,167.4105,168.1019
Player23OnsetTimes,132.1617,134.2435,135.2791,136.0899,136.7676,138.2163,139.0483,139.6070,140.0999,141.3680,142.1827,142.9563,143.7435,144.4827,145.2325,145.9963,146.7258,147.5607,148.3770,149.1020,149.7484,150.5061,151.3049,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6660,165.3486,166.0456,166.7439,167.4408
Player24OnsetTimes,132.1931,134.2744,135.2791,136.0748,136.7516,138.2163,139.0638,139.6217,140.0999,141.3522,142.1672,142.9407,143.7435,144.4987,145.2484,145.9963,146.7258,147.5607,148.3770,149.1020,149.7484,150.5061,151.3049,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6660,165.3486,166.0456,166.7439,167.4408
