Key,Value
BPM,90.0000
StartTime,130.9850
scoreCounter,45.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Player45OnsetTimes,132.2685,134.3691,135.3275,136.0432,136.6882,138.2014,139.0946,139.6682,140.1148,141.2924,142.0899,142.9107,143.7767,144.5476,145.2791,145.9963,146.6911,147.5138,148.3454,149.1020,149.7631,150.5208,151.3206,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9141,157.5947,158.2964,159.7427,160.4930,161.1820,161.8771,162.5695,163.2781,163.9910,164.6887,165.3650,166.0456,166.7273,167.4256
Player46OnsetTimes,132.5140,134.6043,135.3742,135.9177,137.1254,137.9715,138.5358,139.2713,140.1302,141.8817,142.6862,143.0789,143.9030,144.5476,145.1703,146.5757,147.3451,147.7430,148.0817,149.2274,150.0456,150.6950,151.2579,151.8474,152.5369,153.3087,154.0936,154.8193,155.4961,156.1433,156.8202,157.5329,158.2800,159.7753,160.5086,161.1454,161.8081,162.4981,163.2262,163.9502,164.6506,165.3331,166.0150,166.7121,167.4105,168.1019
Player47OnsetTimes,132.3296,134.4189,135.3275,136.0120,136.6576,138.2014,139.1096,139.6846,140.1302,141.2775,142.0743,142.9107,143.7767,144.5476,145.2791,145.9810,146.6749,147.5138,148.3615,149.1182,149.7631,150.5061,151.3049,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9141,157.5947,158.2964,159.7427,160.4930,161.1820,161.8771,162.5695,163.2781,163.9910,164.6887,165.3650,166.0456,166.7273,167.4256
Player48OnsetTimes,133.0937,134.6641,135.0137,136.0120,136.8790,137.6506,138.3895,139.3517,140.3179,141.1488,142.4695,143.4008,143.9815,144.8238,145.4038,146.4077,146.9982,147.5138,148.1111,149.5806,150.3876,150.7724,151.0831,151.6174,152.4303,153.3699,154.2328,154.9286,155.5114,156.0833,156.7420,157.4997,158.3114,159.0876,160.5242,161.6692,162.3267,162.6499,163.0086,163.6185,164.4846,165.4359,166.2566,166.8785,167.4105,167.9920
Player49OnsetTimes,132.2980,134.3870,135.3275,136.0277,136.6735,138.2014,139.0946,139.6682,140.1148,141.2924,142.0899,142.9107,143.7767,144.5476,145.2791,145.9963,146.6911,147.5138,148.3454,149.1020,149.7631,150.5208,151.3206,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9141,157.5947,158.2964,159.7427,160.4930,161.1820,161.8771,162.5695,163.2781,163.9910,164.6887,165.3650,166.0456,166.7273,167.4256
Player50OnsetTimes,132.2980,134.3870,135.3275,136.0277,136.6735,138.2014,139.0946,139.6682,140.1148,141.2924,142.0899,142.9107,143.7767,144.5476,145.2791,145.9963,146.6911,147.5138,148.3454,149.1020,149.7631,150.5208,151.3206,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9141,157.5947,158.2964,159.7427,160.4930,161.1820,161.8771,162.5695,163.2781,163.9910,164.6887,165.3650,166.0456,166.7273,167.4256
Player51OnsetTimes,132.8460,134.4189,134.9520,136.3118,137.2189,137.7679,138.2640,140.0292,141.0837,141.4136,142.0743,142.7968,143.6611,144.5166,145.3266,146.0443,146.6911,147.4686,148.2969,149.0853,149.7631,150.5208,151.3049,152.0387,152.7097,153.3545,154.0179,154.7266,155.4651,156.2044,156.9141,157.5947,158.2964,159.7269,160.4555,161.1454,161.8624,162.5695,163.2781,163.9738,164.6506,165.3331,166.0312,166.7439,167.4573
Player52OnsetTimes,132.7995,134.3691,134.9359,136.3582,137.2807,137.7995,138.2487,139.9608,141.0222,141.3981,142.1058,142.8439,143.6781,144.4987,145.2944,146.0282,146.7083,147.4988,148.3133,149.0700,149.7484,150.5208,151.3206,152.0538,152.7333,153.3699,154.0179,154.7115,155.4500,156.1892,156.9141,157.6099,158.3114,159.7269,160.4555,161.1454,161.8624,162.5695,163.2781,163.9738,164.6506,165.3331,166.0312,166.7439,167.4573
Player53OnsetTimes,132.4837,134.5585,135.3585,135.9339,137.1557,137.9871,138.5358,139.2562,140.1148,141.8973,142.7021,143.0789,143.9030,144.5476,145.1703,146.5757,147.3451,147.7430,148.0817,149.2274,150.0456,150.6950,151.2579,151.8474,152.5369,153.3087,154.0936,154.8193,155.4961,156.1433,156.8202,157.5329,158.2800,159.7753,160.5086,161.1454,161.8081,162.4981,163.2262,163.9502,164.6506,165.3331,166.0150,166.7121,167.4105,168.1019
Player54OnsetTimes,133.6260,134.6790,135.2006,136.1521,136.8634,138.1865,138.9267,139.4962,140.0650,141.4600,142.2819,142.9710,143.6781,145.1057,145.8870,146.1687,146.6242,147.9708,148.8310,149.2274,149.7631,150.3876,151.1436,151.9537,152.7333,153.4173,154.0478,154.6812,155.3754,156.1130,156.8690,157.5947,158.2964,159.6812,160.3955,161.0832,161.8081,162.5535,163.2781,163.9502,164.6049,165.2875,166.0150,166.7273,167.4256,168.1019
Player55OnsetTimes,132.4687,134.5585,135.3742,135.9501,137.1557,137.9715,138.5204,139.2562,140.1148,141.8973,142.7021,143.0789,143.9030,144.5476,145.1703,146.5757,147.3451,147.7430,148.0817,149.2274,150.0456,150.6950,151.2579,151.8474,152.5369,153.3087,154.0936,154.8193,155.4961,156.1433,156.8202,157.5329,158.2800,159.7753,160.5086,161.1454,161.8081,162.5139,163.2411,163.9738,164.6660,165.3331,166.0150,166.7121,167.4105,168.1019
Player56OnsetTimes,132.1451,134.2284,135.2791,136.1064,136.7837,138.2014,139.0174,139.5918,140.0999,141.3981,142.2211,142.9710,143.7273,144.4672,145.2325,145.9963,146.7258,147.5607,148.3770,149.1020,149.7484,150.5061,151.3049,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6660,165.3486,166.0456,166.7439,167.4408
Player57OnsetTimes,132.1281,134.2134,135.2637,136.1064,136.7995,138.2163,139.0330,139.6070,140.1148,141.3832,142.1827,142.9407,143.7273,144.4827,145.2484,146.0125,146.7421,147.5607,148.3615,149.0853,149.7261,150.5061,151.3206,152.0855,152.7641,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6660,165.3486,166.0456,166.7439,167.4408
Player58OnsetTimes,133.1861,134.2284,134.7903,136.4214,137.4479,137.9239,138.2487,139.7781,140.8304,141.3374,142.1672,142.9407,143.7273,144.4672,145.2173,145.9810,146.7083,147.5284,148.3454,149.0853,149.7261,150.4892,151.3049,152.0702,152.7490,153.3699,154.0179,154.7115,155.4500,156.1892,156.9141,157.6099,158.2964,159.7116,160.4400,161.1454,161.8771,162.5864,163.2781,163.9502,164.6356,165.3331,166.0456,166.7594,167.4573
Player59OnsetTimes,133.6748,134.1947,134.7253,136.4041,137.4785,137.9559,138.2640,139.7312,140.7680,141.3069,142.2520,143.0471,143.7767,144.4360,145.1556,145.9351,146.7083,147.5607,148.3770,149.0853,149.7110,150.4672,151.2894,152.0702,152.7490,153.3699,154.0018,154.6960,155.4500,156.2044,156.9141,157.5947,158.2800,159.6971,160.4400,161.1454,161.8771,162.5864,163.2781,163.9502,164.6356,165.3331,166.0456,166.7439,167.4408
Player60OnsetTimes,132.2080,134.2901,135.2956,136.0748,136.7362,138.2014,139.0483,139.6217,140.1148,141.3832,142.1827,142.9407,143.7273,144.4827,145.2484,146.0125,146.7421,147.5607,148.3615,149.0853,149.7261,150.5061,151.3206,152.0855,152.7641,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6099,158.2964,159.7116,160.4555,161.1601,161.8771,162.5864,163.2781,163.9738,164.6660,165.3650,166.0607,166.7594,167.4573
Player61OnsetTimes,133.5488,134.6043,135.1229,136.1979,136.9762,137.6041,138.2640,139.2562,140.3027,141.1947,142.5308,143.4158,143.9501,144.7621,145.3580,146.4527,147.0752,147.5607,148.0961,149.5054,150.3261,150.7724,151.1289,151.6636,152.4457,153.3545,154.2029,154.8970,155.4961,156.0833,156.7578,157.5158,158.3114,159.0694,160.4930,161.6388,162.3113,162.6499,163.0086,163.6185,164.4846,165.4136,166.2251,166.8620,167.4105,168.0085
Player62OnsetTimes,132.2980,134.3870,135.3275,136.0277,136.6735,138.2014,139.0946,139.6682,140.1148,141.2924,142.0899,142.9107,143.7767,144.5476,145.2791,145.9963,146.6911,147.5138,148.3454,149.1020,149.7631,150.5208,151.3206,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9141,157.5947,158.2964,159.7427,160.4930,161.1820,161.8771,162.5695,163.2781,163.9910,164.6887,165.3650,166.0456,166.7273,167.4256
Player63OnsetTimes,132.2380,134.3227,135.2956,136.0432,136.7036,138.2163,139.0946,139.6523,140.1148,141.3225,142.1212,142.9256,143.7591,144.5323,145.2791,145.9963,146.6911,147.5138,148.3454,149.1020,149.7631,150.5208,151.3206,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6506,165.3331,166.0456,166.7594,167.4573
Player64OnsetTimes,132.4070,134.5120,135.3742,135.9812,136.5935,138.1865,139.1411,139.7312,140.1457,141.2300,142.0108,142.8792,143.7925,144.5959,145.3099,145.9810,146.6585,147.4988,148.3615,149.1343,149.7797,150.5061,151.2894,152.0538,152.7490,153.4018,154.0478,154.7266,155.4500,156.1892,156.9141,157.6099,158.3114,159.7269,160.4555,161.1454,161.8624,162.5864,163.2948,163.9910,164.6660,165.3486,166.0456,166.7439,167.4408
Player65OnsetTimes,132.1281,134.2134,135.2637,136.1064,136.7995,138.2163,139.0330,139.6070,140.1148,141.3832,142.1827,142.9407,143.7273,144.4827,145.2484,146.0125,146.7421,147.5607,148.3615,149.0853,149.7261,150.5061,151.3206,152.0855,152.7641,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6660,165.3486,166.0456,166.7439,167.4408
Player66OnsetTimes,132.2838,134.3870,135.3275,136.0277,136.6735,138.2014,139.0946,139.6682,140.1148,141.2924,142.0899,142.9107,143.7767,144.5476,145.2791,145.9963,146.6911,147.5138,148.3454,149.1020,149.7631,150.5208,151.3206,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9141,157.5947,158.2964,159.7427,160.4930,161.1820,161.8771,162.5695,163.2781,163.9910,164.6887,165.3650,166.0456,166.7273,167.4256
Player67OnsetTimes,132.1931,134.2744,135.2791,136.0748,136.7516,138.2163,139.0638,139.6217,140.0999,141.3522,142.1672,142.9407,143.7435,144.4987,145.2484,145.9963,146.7258,147.5607,148.3770,149.1020,149.7484,150.5061,151.3049,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6660,165.3486,166.0456,166.7439,167.4408
Player68OnsetTimes,133.4860,134.5275,135.0452,136.2280,137.0620,137.6684,138.2640,139.2043,140.2566,141.1793,142.5755,143.4772,143.9815,144.7016,145.2791,146.4527,147.1411,147.6184,148.1111,149.4274,150.2341,150.7264,151.1436,151.7091,152.4753,153.3393,154.1581,154.8654,155.4961,156.1130,156.7882,157.5158,158.2800,159.7901,160.5242,161.1454,161.7928,162.4832,163.2262,163.9738,164.6887,165.3650,166.0312,166.6970,167.3953,168.1019
Player69OnsetTimes,132.5294,134.6197,135.3905,135.9339,137.1254,137.9559,138.5204,139.2713,140.1302,141.8817,142.6694,143.0628,143.9185,144.5793,145.2011,146.5441,147.2824,147.6977,148.0817,149.2879,150.1091,150.7104,151.2270,151.8171,152.5369,153.3241,154.1088,154.8193,155.4808,156.1280,156.8038,157.5329,158.2964,159.7901,160.5086,161.1301,161.7928,162.4981,163.2411,163.9738,164.6660,165.3331,166.0150,166.7121,167.4105,168.1019
Player70OnsetTimes,132.1772,134.2594,135.2791,136.0748,136.7516,138.2163,139.0638,139.6217,140.0999,141.3522,142.1672,142.9407,143.7435,144.4987,145.2484,145.9963,146.7258,147.5607,148.3770,149.1020,149.7484,150.5061,151.3049,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6660,165.3486,166.0456,166.7439,167.4408
Player71OnsetTimes,132.7282,134.2901,134.9050,136.4523,137.4018,137.8611,138.5839,139.4016,140.2251,141.7865,142.5155,142.9710,144.0581,144.7774,145.2944,146.3605,147.0288,147.5777,148.1408,149.5208,150.3104,150.7417,151.1137,151.6636,152.4602,153.3545,154.1880,154.8813,155.4808,156.0833,156.7578,157.5158,158.3114,159.0694,160.4930,161.6388,162.3113,162.6499,163.0086,163.6185,164.4846,165.4136,166.2251,166.8620,167.4105,168.0085
Player72OnsetTimes,133.1709,134.2134,134.8051,136.4523,137.4627,137.9239,138.2487,139.7781,140.8304,141.3374,142.1672,142.9407,143.7273,144.4672,145.2173,145.9810,146.7083,147.5284,148.3454,149.0853,149.7261,150.4892,151.3049,152.0702,152.7490,153.3699,154.0179,154.7115,155.4500,156.1892,156.9141,157.6099,158.2964,159.7116,160.4400,161.1301,161.8624,162.5864,163.2781,163.9502,164.6356,165.3331,166.0456,166.7594,167.4573
Player73OnsetTimes,132.2685,134.3691,135.3275,136.0432,136.6882,138.2014,139.0946,139.6682,140.1148,141.2924,142.0899,142.9107,143.7767,144.5476,145.2791,145.9963,146.6911,147.5138,148.3454,149.1020,149.7631,150.5208,151.3206,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9141,157.5947,158.2964,159.7427,160.4930,161.1820,161.8771,162.5695,163.2781,163.9910,164.6887,165.3650,166.0456,166.7273,167.4256
Player74OnsetTimes,133.1709,134.2134,134.8051,136.4523,137.4627,137.9239,138.2487,139.7781,140.8304,141.3374,142.1672,142.9407,143.7273,144.4672,145.2173,145.9810,146.7083,147.5284,148.3454,149.0853,149.7261,150.4892,151.3049,152.0702,152.7490,153.3699,154.0179,154.7115,155.4500,156.1892,156.9141,157.6099,158.2964,159.7116,160.4400,161.1301,161.8624,162.5864,163.2781,163.9502,164.6356,165.3331,166.0456,166.7594,167.4573
Player75OnsetTimes,132.5441,134.6343,135.3905,135.9177,137.1091,137.9559,138.5358,139.2865,140.1457,141.8817,142.6694,143.0628,143.9185,144.5793,145.2011,146.5441,147.2824,147.6977,148.0817,149.2879,150.1091,150.7104,151.2270,151.8171,152.5369,153.3241,154.1088,154.8193,155.4808,156.1280,156.8038,157.5329,158.2964,159.7901,160.5086,161.1301,161.7928,162.4981,163.2411,163.9738,164.6660,165.3331,166.0150,166.7121,167.4105,168.1019
Player76OnsetTimes,132.2685,134.3691,135.3275,136.0432,136.6882,138.2014,139.0946,139.6682,140.1148,141.2924,142.0899,142.9107,143.7767,144.5476,145.2791,145.9963,146.6911,147.5138,148.3454,149.1020,149.7631,150.5208,151.3206,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9141,157.5947,158.2964,159.7427,160.4930,161.1820,161.8771,162.5695,163.2781,163.9910,164.6887,165.3650,166.0456,166.7273,167.4256
Player77OnsetTimes,132.3296,134.4189,135.3275,136.0120,136.6576,138.2014,139.1096,139.6846,140.1302,141.2775,142.0743,142.9107,143.7767,144.5476,145.2791,145.9810,146.6749,147.5138,148.3615,149.1182,149.7631,150.5061,151.3049,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9141,157.5947,158.2964,159.7427,160.4930,161.1820,161.8771,162.5695,163.2781,163.9910,164.6887,165.3650,166.0456,166.7273,167.4256
Player78OnsetTimes,132.6516,134.2134,134.8896,136.5607,137.5244,137.9085,138.4525,139.2408,140.1629,141.9770,142.7489,143.0789,143.8233,144.4672,145.1556,145.9176,146.6911,147.5607,148.3770,149.0853,149.7110,150.4672,151.2894,152.0702,152.7490,153.3699,154.0179,154.7115,155.4500,156.1892,156.9141,157.6099,158.2964,159.7116,160.4400,161.1301,161.8624,162.5864,163.2781,163.9502,164.6356,165.3331,166.0456,166.7594,167.4573
Player79OnsetTimes,132.7282,134.2901,134.9050,136.4523,137.4018,137.8611,138.5839,139.4016,140.2251,141.7865,142.5155,142.9710,144.0581,144.7774,145.2944,146.3605,147.0288,147.5777,148.1408,149.5208,150.3104,150.7417,151.1137,151.6636,152.4602,153.3545,154.1880,154.8813,155.4808,156.0833,156.7578,157.5158,158.3114,159.0694,160.4930,161.6388,162.3113,162.6499,163.0086,163.6185,164.4846,165.4136,166.2251,166.8620,167.4105,168.0085
Player80OnsetTimes,132.5294,134.6197,135.3905,135.9339,137.1254,137.9559,138.5204,139.2713,140.1302,141.8817,142.6694,143.0628,143.9185,144.5793,145.2011,146.5441,147.2824,147.6977,148.0817,149.2879,150.1091,150.7104,151.2270,151.8171,152.5369,153.3241,154.1088,154.8193,155.4808,156.1280,156.8038,157.5329,158.2964,159.7901,160.5086,161.1301,161.7928,162.4981,163.2411,163.9738,164.6660,165.3331,166.0150,166.7121,167.4105,168.1019
Player81OnsetTimes,134.1795,134.7100,135.2322,136.1366,136.8322,138.1553,138.9103,139.4962,140.0650,141.4600,142.2819,142.9563,143.6460,145.0911,145.9028,146.2054,146.6427,147.9242,148.7543,149.1796,149.8273,150.4892,151.1895,151.9235,152.6458,153.3393,154.0179,154.7115,155.4204,156.1280,156.8367,157.5495,158.2637,159.6971,160.4250,161.0986,161.8081,162.5292,163.2411,163.9347,164.6200,165.3033,166.0150,166.7121,167.4105,168.1019
Player82OnsetTimes,133.1093,134.6790,135.0137,135.9812,136.8481,137.6346,138.4042,139.3849,140.3331,141.1331,142.4375,143.3853,143.9964,144.4360,145.5638,146.3454,146.8367,147.4045,148.1261,148.9533,149.7631,150.6146,151.3987,152.0702,152.6781,153.3087,154.0018,154.7422,155.4961,156.2210,156.9141,157.5795,158.2800,159.7427,160.4930,161.1820,161.8771,162.5695,163.2629,163.9502,164.6506,165.3486,166.0456,166.7439,167.4408
Player83OnsetTimes,132.3914,134.4955,135.3585,135.9812,136.5935,138.1865,139.1411,139.7312,140.1457,141.2300,142.0108,142.8792,143.7925,144.5959,145.3099,145.9810,146.6585,147.4988,148.3615,149.1343,149.7797,150.5061,151.2894,152.0538,152.7490,153.4018,154.0478,154.7266,155.4500,156.1892,156.9141,157.6099,158.3114,159.7269,160.4555,161.1454,161.8771,162.6040,163.2948,163.9738,164.6506,165.3486,166.0607,166.7594,167.4573
Player84OnsetTimes,132.5904,134.6790,135.4053,135.9020,137.0620,137.9085,138.5204,139.3030,140.1629,141.8817,142.6527,143.0471,143.9351,144.6106,145.2173,146.5290,147.2498,147.6666,148.0817,149.3342,150.1574,150.7264,151.2047,151.7702,152.4904,153.3087,154.1275,154.8499,155.4961,156.1280,156.8038,157.5329,158.2964,159.7901,160.5086,161.1301,161.7928,162.4981,163.2411,163.9738,164.6660,165.3331,166.0150,166.7121,167.4105,168.1019
Player85OnsetTimes,132.7826,134.3548,134.9359,136.3886,137.3110,137.8152,138.2487,139.9457,141.0067,141.3981,141.9933,143.4616,144.3713,144.7318,145.2944,146.3920,147.0604,147.5777,148.1111,149.4588,150.2489,150.7104,151.1137,151.6787,152.4602,153.3393,154.1731,154.8654,155.4651,156.0685,156.7578,157.5158,158.2964,159.8132,160.5242,161.1301,161.7627,162.4686,163.2262,163.9738,164.6887,165.3486,166.0150,166.6970,167.3953,168.1019
Player86OnsetTimes,132.2238,134.3064,135.2956,136.0595,136.7202,138.2014,139.0638,139.6363,140.1148,141.3374,142.1367,142.9256,143.7435,144.5166,145.2791,146.0125,146.7083,147.5284,148.3454,149.1020,149.7631,150.5208,151.3206,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6506,165.3331,166.0456,166.7594,167.4573
Player87OnsetTimes,132.3914,134.4955,135.3585,135.9812,136.5935,138.1865,139.1411,139.7312,140.1457,141.2300,142.0108,142.8792,143.7925,144.5959,145.3099,145.9810,146.6585,147.4988,148.3615,149.1343,149.7797,150.5061,151.2894,152.0538,152.7490,153.4018,154.0478,154.7266,155.4500,156.1892,156.9141,157.6099,158.3114,159.7269,160.4555,161.1454,161.8771,162.6040,163.2948,163.9738,164.6506,165.3486,166.0607,166.7594,167.4573
Player88OnsetTimes,132.4837,134.5585,135.3585,135.9339,137.1557,137.9871,138.5358,139.2562,140.1148,141.8973,142.7021,143.0789,143.9030,144.5476,145.1703,146.5757,147.3451,147.7430,148.0817,149.2274,150.0456,150.6950,151.2579,151.8474,152.5369,153.3087,154.0936,154.8193,155.4961,156.1433,156.8202,157.5329,158.2800,159.7753,160.5086,161.1454,161.8081,162.4981,163.2262,163.9502,164.6506,165.3331,166.0150,166.7121,167.4105,168.1019
Player89OnsetTimes,132.8155,134.3870,134.9359,136.3273,137.2501,137.7995,138.2795,139.9974,141.0377,141.3832,142.0108,143.4923,144.4028,144.7473,145.2484,146.3454,147.0444,147.6026,148.1563,149.4743,150.2341,150.6950,151.1137,151.6940,152.4753,153.3393,154.1581,154.8499,155.4651,156.0833,156.7728,157.5158,158.2964,159.8132,160.5242,161.1301,161.7627,162.4686,163.2262,163.9738,164.6660,165.3331,166.0150,166.6970,167.3953,168.1019
Player90OnsetTimes,132.1451,134.2284,135.2791,136.1064,136.7837,138.2014,139.0174,139.5918,140.0999,141.3981,142.2211,142.9710,143.7273,144.4672,145.2325,145.9963,146.7258,147.5607,148.3770,149.1020,149.7484,150.5061,151.3049,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6660,165.3486,166.0456,166.7439,167.4408
Player91OnsetTimes,132.5750,134.6641,135.3905,135.8873,137.0777,137.9408,138.5358,139.2865,140.1457,141.8817,142.6694,143.0628,143.9185,144.5793,145.2011,146.5441,147.2824,147.6977,148.0817,149.2879,150.1091,150.7104,151.2270,151.8171,152.5369,153.3241,154.1088,154.8193,155.4808,156.1280,156.8038,157.5329,158.2964,159.7901,160.5086,161.1301,161.7928,162.4981,163.2411,163.9738,164.6660,165.3331,166.0150,166.7121,167.4105,168.1019
Player92OnsetTimes,132.2980,134.3870,135.3275,136.0277,136.6735,138.2014,139.0946,139.6682,140.1148,141.2924,142.0899,142.9107,143.7767,144.5476,145.2791,145.9963,146.6911,147.5138,148.3454,149.1020,149.7631,150.5208,151.3206,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9141,157.5947,158.2964,159.7427,160.4930,161.1820,161.8771,162.5695,163.2781,163.9910,164.6887,165.3650,166.0456,166.7273,167.4256
Player93OnsetTimes,132.1617,134.2435,135.2791,136.0899,136.7676,138.2163,139.0483,139.6070,140.0999,141.3680,142.1827,142.9563,143.7435,144.4827,145.2325,145.9963,146.7258,147.5607,148.3770,149.1020,149.7484,150.5061,151.3049,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6660,165.3486,166.0456,166.7439,167.4408
Player94OnsetTimes,132.7431,134.3064,134.9210,136.4370,137.3709,137.8301,138.6004,139.4323,140.2415,141.7709,142.4849,142.9563,144.0887,144.8238,145.3099,146.3145,146.9673,147.5453,148.1563,148.8780,149.6469,150.5524,151.4139,152.1170,152.7097,153.2933,153.9557,154.6960,155.4808,156.2210,156.9141,157.5795,158.2637,159.6971,160.4400,161.1454,161.8624,162.5695,163.2629,163.9502,164.6356,165.3331,166.0312,166.7273,167.4256,168.1019
Player95OnsetTimes,132.6674,134.2284,134.8896,136.5303,137.4939,137.8919,138.4896,139.2713,140.1629,141.9126,142.6862,143.0628,143.8872,144.5476,145.1856,146.5916,147.3451,147.7276,148.0666,149.2274,150.0607,150.6950,151.2424,151.8325,152.5369,153.3087,154.0936,154.8193,155.4961,156.1433,156.8202,157.5329,158.2800,159.7753,160.5086,161.1454,161.8081,162.4981,163.2262,163.9502,164.6506,165.3331,166.0150,166.7121,167.4105,168.1019
Player96OnsetTimes,132.4837,134.5585,135.3585,135.9339,137.1557,137.9871,138.5358,139.2562,140.1148,141.8973,142.7021,143.0789,143.9030,144.5476,145.1703,146.5757,147.3451,147.7430,148.0817,149.2274,150.0456,150.6950,151.2579,151.8474,152.5369,153.3087,154.0936,154.8193,155.4961,156.1433,156.8202,157.5329,158.2800,159.7753,160.5086,161.1454,161.8081,162.4981,163.2262,163.9502,164.6506,165.3331,166.0150,166.7121,167.4105,168.1019
