Key,Value
BPM,120.0000
StartTime,107.3142
scoreCounter,64.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Mean Onset List,108.9462,110.7969,111.4716,112.2090,112.7958,113.6255,114.1969,114.7495,115.2697,116.2297,116.8565,117.3823,118.0710,118.6304,119.2845,119.9096,120.4524,121.0248,121.5543,122.0823,122.6108,123.1381,123.6662,124.1956,124.7225,125.2488,125.7789,126.3079,126.8318,127.3586,127.8846,128.4133,128.9446,129.4697,129.9984,130.5290,131.0568,131.5874,132.1164,132.6444,133.1722,133.7023,134.2306,134.7601,135.2882,135.8140,136.3386,136.8651,137.3921,137.9188,138.4459,138.9764,139.5051,140.0342,140.5632,141.0916,141.6217,142.1478,142.6808,143.2080,143.7363,144.2659,144.7934,145.3175
Mean Interval List,0.0000,0.5715,0.5077,0.5009,0.4912,0.5146,0.4992,0.4972,0.4985,0.5239,0.5021,0.4979,0.5227,0.5169,0.5149,0.5095,0.5070,0.5060,0.5041,0.5046,0.5037,0.5047,0.5042,0.5039,0.5039,0.5045,0.5027,0.5026,0.5037,0.5039,0.5049,0.5044,0.5050,0.5049,0.5059,0.5056,0.5053,0.5044,0.5035,0.5040,0.5056,0.5052,0.5054,0.5038,0.5045,0.5023,0.5036,0.5027,0.5026,0.5056,0.5061,0.5064,0.5045,0.5051,0.5057,0.5052,0.5055,0.5045,0.5034,0.5032,0.5025,0.5052,0.5038,0.5053
Timestamps,102.6870,103.1583,103.6716,104.2462,104.7402,105.2194,105.7483,106.2606,106.8199,107.3142,107.7003,108.2790,108.8079,109.3399,109.8534,110.3737,110.9471,111.4865,112.0305,112.5609,113.0850,113.6060,114.1374,114.7157,115.2284,115.7434,116.2683,116.8105,117.3156,117.8309,118.4040,118.9228,119.4685,120.0425,120.5654,121.1003,121.6389,122.1486,122.6975,123.2136,123.7363,124.2645,124.8039,125.2938,125.8215,126.3726,126.9015,127.4482,127.9642,128.5042,129.0340,129.5779,130.1008,130.6250,131.1348,131.6470,132.1850,132.7466,133.2661,133.7984,134.2964,134.8379,135.3224,135.8740,136.3816,136.9048,137.4922,138.0290,138.5612,139.0533,139.5952,140.1360,140.6534,141.1887,141.6978,142.2012,142.7310,143.2449,143.8253,144.3276,144.8861,145.4154
Player1OnsetTimes,109.6936,110.7384,111.2600,112.4014,113.0679,113.4344,114.0905,114.7533,115.3511,116.3824,116.8702,117.2830,118.2928,118.9059,119.2802,119.9455,120.4697,120.9675,121.4639,122.0198,122.6041,123.1670,123.6866,124.1834,124.6860,125.2134,125.7563,126.3026,126.8356,127.3506,127.8638,128.3912,128.9223,129.4612,130.0054,130.5279,131.0404,131.5667,132.0891,132.6230,133.1556,133.6954,134.2336,134.7615,135.2768,135.7958,136.3186,136.8571,137.3892,137.9203,138.4362,138.9571,139.4843,140.0116,140.5441,141.0869,141.6171,142.1376,142.6701,143.1973,143.7296,144.2637,144.7907,145.3068,145.8354
Player2OnsetTimes,108.6869,110.7692,111.5466,112.1077,112.5771,113.7654,114.4594,114.8907,115.2284,116.0679,116.6439,117.2830,117.9594,118.5744,119.2028,119.7863,120.3898,121.0211,121.6065,122.1486,122.6505,123.1356,123.6392,124.1834,124.7313,125.2764,125.8048,126.3247,126.8356,127.3506,127.8789,128.4235,128.9703,129.4923,130.0054,130.5279,131.0560,131.5986,132.1372,132.6696,133.1864,133.6954,134.2190,134.7615,135.3068,135.8417,136.3645,136.8730,137.3892,137.9203,138.4521,138.9902,139.5163,140.0422,140.5753,141.1029,141.6324,142.1529,142.6848,143.2124,143.7449,144.2795,144.8067,145.3217,145.8499
Player3OnsetTimes,108.7317,110.8208,111.5847,112.1077,112.5609,113.7494,114.4594,114.8907,115.2284,116.0679,116.6439,117.2830,117.9594,118.5744,119.2028,119.7863,120.3898,121.0211,121.6065,122.1486,122.6505,123.1356,123.6392,124.1681,124.7157,125.2764,125.8215,126.3405,126.8356,127.3506,127.8789,128.4235,128.9703,129.4923,130.0054,130.5279,131.0560,131.5986,132.1372,132.6546,133.1705,133.6954,134.2336,134.7761,135.3068,135.8269,136.3491,136.8730,137.3892,137.9203,138.4521,138.9902,139.5163,140.0422,140.5596,141.0869,141.6171,142.1529,142.6848,143.2124,143.7449,144.2795,144.8067,145.3217,145.8499
Player4OnsetTimes,108.7919,110.8805,111.5847,112.0612,112.9448,113.5720,113.9953,114.5499,115.2115,116.5517,117.1552,117.4419,118.0582,118.5595,119.6612,120.2418,120.4997,121.0683,121.5579,122.0514,122.5746,123.1203,123.6709,124.1987,124.7157,125.2284,125.7563,126.2877,126.8199,127.3506,127.8789,128.4070,128.9383,129.4612,129.9881,130.5117,131.0404,131.5827,132.1206,132.6385,133.1556,133.6804,134.2190,134.7615,135.2918,135.8113,136.3337,136.8571,137.3736,137.9052,138.4362,138.9746,139.5008,140.0268,140.5596,141.0869,141.6171,142.1376,142.6701,143.1973,143.7296,144.2637,144.7907,145.3217,145.8499
Player5OnsetTimes,108.5766,110.6625,111.5306,112.1688,112.6539,113.7494,114.3993,114.8296,115.2115,116.1469,116.7343,117.3323,117.9437,118.5275,119.1705,119.7863,120.4066,121.0374,121.6065,122.1317,122.6348,123.1356,123.6552,124.1987,124.7467,125.2764,125.8048,126.3247,126.8356,127.3664,127.8953,128.4235,128.9539,129.4767,130.0054,130.5446,131.0710,131.5986,132.1206,132.6546,133.1864,133.7188,134.2494,134.7761,135.2918,135.8113,136.3337,136.8730,137.4124,137.9359,138.4521,138.9746,139.5008,140.0422,140.5753,141.1029,141.6324,142.1529,142.6848,143.2124,143.7449,144.2795,144.8067,145.3217,145.8499
Player6OnsetTimes,108.7017,110.7839,111.5690,112.1077,112.5609,113.7494,114.4594,114.8907,115.2284,116.0679,116.6439,117.2830,117.9594,118.5744,119.2028,119.7863,120.3898,121.0211,121.6065,122.1486,122.6505,123.1356,123.6392,124.1834,124.7313,125.2764,125.8048,126.3247,126.8356,127.3506,127.8789,128.4235,128.9703,129.4923,130.0054,130.5279,131.0560,131.5986,132.1372,132.6696,133.1864,133.6954,134.2190,134.7615,135.3068,135.8417,136.3645,136.8730,137.3892,137.9203,138.4521,138.9902,139.5163,140.0422,140.5753,141.1029,141.6324,142.1529,142.6848,143.2124,143.7449,144.2795,144.8067,145.3217,145.8499
Player7OnsetTimes,108.6397,110.7238,111.5466,112.1390,112.6073,113.7340,114.4138,114.8598,115.2284,116.1291,116.7053,117.2988,117.9284,118.5433,119.1860,119.8020,120.4233,121.0374,121.6065,122.1317,122.6348,123.1356,123.6552,124.1987,124.7467,125.2764,125.7876,126.3026,126.8356,127.3833,127.9170,128.4397,128.9539,129.4767,130.0054,130.5446,131.0710,131.5986,132.1206,132.6385,133.1705,133.7188,134.2494,134.7761,135.2918,135.8113,136.3337,136.8730,137.4124,137.9359,138.4521,138.9746,139.5008,140.0422,140.5753,141.1029,141.6324,142.1529,142.6848,143.2124,143.7449,144.2795,144.8067,145.3217,145.8499
Player8OnsetTimes,109.7878,110.8358,111.3513,112.3556,112.9603,113.3594,114.1690,114.8754,115.4101,116.2521,116.6906,117.1910,118.4644,119.1373,119.3882,119.7090,120.5961,121.2573,121.6693,122.0042,122.4287,122.9949,123.6392,124.2645,124.8039,125.2598,125.7065,126.2106,126.7737,127.3506,127.9170,128.4397,128.9223,129.4158,129.9418,130.4956,131.0560,131.5986,132.1206,132.6230,133.1391,133.6648,134.2036,134.7456,135.2768,135.7958,136.3186,136.8417,137.3736,137.9052,138.4362,138.9571,139.4843,140.0116,140.5441,141.0716,141.6008,142.1376,142.6701,143.1973,143.7136,144.2482,144.7757,145.3068,145.8354
Player9OnsetTimes,108.7469,110.8358,111.5847,112.0921,112.9907,113.5878,113.9788,114.5350,115.2115,116.5829,117.1723,117.4419,118.0271,118.5275,119.6612,120.2793,120.5321,121.0374,121.4939,122.0042,122.5597,123.1356,123.6866,124.2154,124.7157,125.2134,125.7395,126.2877,126.8356,127.3664,127.8789,128.3912,128.9223,129.4612,130.0054,130.5279,131.0404,131.5667,132.1056,132.6385,133.1705,133.6954,134.2190,134.7456,135.2768,135.8113,136.3337,136.8571,137.3892,137.9203,138.4521,138.9746,139.5008,140.0268,140.5596,141.0869,141.6171,142.1376,142.6701,143.1973,143.7296,144.2637,144.7907,145.3217,145.8499
Player10OnsetTimes,108.7469,110.8358,111.5847,112.0921,112.9907,113.5878,113.9788,114.5350,115.2115,116.5829,117.1723,117.4419,118.0271,118.5275,119.6612,120.2793,120.5321,121.0374,121.4939,122.0042,122.5597,123.1356,123.6866,124.2154,124.7157,125.2134,125.7395,126.2877,126.8356,127.3664,127.8789,128.3912,128.9223,129.4612,130.0054,130.5279,131.0404,131.5667,132.1056,132.6385,133.1705,133.6954,134.2190,134.7456,135.2768,135.8113,136.3337,136.8571,137.3892,137.9203,138.4521,138.9746,139.5008,140.0268,140.5596,141.0869,141.6171,142.1376,142.6701,143.1973,143.7296,144.2637,144.7907,145.3217,145.8499
Player11OnsetTimes,109.9743,111.0250,111.5466,112.2588,112.7145,113.6525,114.2312,114.7157,115.1965,116.2521,116.8398,117.3323,118.3715,118.9387,119.2491,119.8502,120.3898,120.9521,121.5102,122.0851,122.6348,123.1509,123.6392,124.1368,124.6706,125.2284,125.7717,126.3026,126.8199,127.3350,127.8638,128.3912,128.9223,129.4457,129.9722,130.5117,131.0404,131.5667,132.0891,132.6230,133.1556,133.6954,134.2190,134.7456,135.2768,135.7958,136.3186,136.8417,137.3736,137.9052,138.4362,138.9746,139.5008,140.0268,140.5441,141.0716,141.6008,142.1376,142.6848,143.2124,143.7296,144.2482,144.7757,145.3068,145.8354
Player12OnsetTimes,109.0368,110.6163,111.1501,112.4788,113.2317,113.5567,114.0111,114.5787,115.2284,116.5198,117.1013,117.4124,118.0889,118.6054,119.6467,120.1952,120.4542,121.0840,121.6065,122.0851,122.5597,123.0741,123.6236,124.1834,124.7313,125.2598,125.7717,126.2877,126.8044,127.3350,127.8789,128.4235,128.9539,129.4612,129.9722,130.4956,131.0404,131.5827,132.1206,132.6385,133.1556,133.6804,134.2190,134.7615,135.2918,135.8113,136.3186,136.8417,137.3736,137.9052,138.4362,138.9746,139.5008,140.0268,140.5441,141.0716,141.6008,142.1376,142.6848,143.2124,143.7296,144.2482,144.7757,145.3068,145.8354
Player13OnsetTimes,108.4317,111.0404,112.0110,112.3702,112.6395,113.4344,114.0905,114.7533,115.3511,116.3824,116.8702,117.2830,118.3088,118.9228,119.2802,119.9149,120.4396,120.9675,121.4939,122.0514,122.6191,123.1670,123.6866,124.1834,124.6860,125.2134,125.7563,126.3026,126.8356,127.3664,127.8789,128.3912,128.9223,129.4612,130.0054,130.5446,131.0710,131.5827,132.0891,132.6083,133.1556,133.7188,134.2494,134.7615,135.2768,135.7958,136.3186,136.8571,137.3892,137.9203,138.4521,138.9746,139.5008,140.0268,140.5596,141.0869,141.6171,142.1529,142.6848,143.1973,143.7136,144.2482,144.7907,145.3217,145.8499
