Key,Value
BPM,60.0000
StartTime,161.6022
scoreCounter,22.0000
Alpha,High
alphaUser,0.1000
alphaAuto,0.0030
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Mean Onset List,163.1205,164.7756,165.9065,166.9779,168.0422,175.8058,177.5453,178.6141,179.6456,181.6738,182.7945,183.8193,184.8353,185.8541,186.8804,187.9122,188.9376,189.9683,190.9885,192.0170,193.0354,194.0607
Mean Interval List,0.0000,1.1075,1.0487,1.0417,1.0399,1.7108,1.0058,1.0084,1.0013,1.0976,1.0039,0.9914,0.9965,1.0008,1.0073,1.0034,1.0084,0.9974,1.0017,0.9953,0.9966,0.9976
Timestamps,147.2148,148.2153,149.2136,150.3719,151.3635,152.3585,153.2160,154.2152,155.2910,161.6022,162.5436,163.3076,164.1940,165.2613,166.3214,167.3743,175.1406,175.8542,176.5401,177.6200,178.6173,179.6837,180.6113,181.7017,182.6979,183.7738,184.8332,185.9167,186.9040,187.9861,188.9010,189.9751,190.9310,191.9725,193.0005,194.0339
Player1OnsetTimes,163.1829,164.7688,165.8685,166.9385,168.0257,175.6438,177.3943,178.4930,179.5900,181.7475,182.8973,183.8985,184.8786,185.8694,186.8721,187.8938,188.9323,189.9751,191.0067,192.0381,193.0472,194.0673
Player2OnsetTimes,162.8409,164.9527,166.1925,167.2023,168.1484,176.0420,177.7407,178.6631,179.6059,181.5936,182.7132,183.7569,184.8003,185.8393,186.8721,187.9090,188.9323,189.9583,190.9758,192.0060,193.0151,194.0515
Player3OnsetTimes,163.1209,164.7083,165.8355,166.9385,168.0257,175.6438,177.3943,178.4930,179.5900,181.7475,182.8973,183.8985,184.8786,185.8694,186.8875,187.9090,188.9323,189.9751,191.0067,192.0381,193.0472,194.0673
Player4OnsetTimes,162.9350,164.5060,165.7120,166.8923,168.0410,175.8357,177.5831,178.6006,179.6214,181.7017,182.8359,183.8523,184.8630,185.8694,186.8875,187.9255,188.9477,189.9751,190.9918,192.0218,193.0472,194.0673
Player5OnsetTimes,162.7779,164.8903,166.1596,167.1868,168.1484,176.1273,177.8255,178.7260,179.6363,181.5788,182.6979,183.7569,184.8003,185.8393,186.8721,187.8938,188.9156,189.9421,190.9609,191.9886,193.0151,194.0515
Player6OnsetTimes,162.9194,164.5060,165.7120,166.8923,168.0410,175.8542,177.6020,178.6173,179.6363,181.7017,182.8359,183.8523,184.8630,185.8694,186.8875,187.9255,188.9477,189.9751,190.9918,192.0218,193.0472,194.0673
Player7OnsetTimes,163.2133,164.7984,165.8986,166.9537,168.0257,175.6257,177.3758,178.4762,179.5749,181.7475,182.8973,183.8985,184.8786,185.8694,186.8721,187.8938,188.9323,189.9751,191.0067,192.0381,193.0472,194.0673
