Key,Value
BPM,90.0000
StartTime,164.6992
scoreCounter,33.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Mean Onset List,166.2825,168.0764,168.8903,169.5768,170.2505,170.9256,171.6034,172.2884,172.9764,173.6655,174.3562,175.0493,175.7414,176.4293,177.1193,177.8093,178.5012,179.1877,179.8828,180.5727,181.2632,181.9553,182.6515,183.3428,184.0344,184.7229,185.4131,186.1070,186.8055,187.4926,188.1861,188.8803,189.5679
Mean Interval List,0.0000,0.7113,0.6557,0.6502,0.6512,0.6535,0.6588,0.6642,0.6633,0.6671,0.6674,0.6678,0.6662,0.6657,0.6653,0.6663,0.6666,0.6669,0.6696,0.6692,0.6679,0.6700,0.6700,0.6691,0.6680,0.6672,0.6690,0.6683,0.6666,0.6676,0.6691,0.6684,0.6695
Timestamps,109.6244,110.5218,160.1794,161.0325,161.8143,162.4224,163.0193,163.5591,164.1070,164.6992,165.2287,165.8685,166.5238,167.1731,167.8549,168.5596,169.2677,169.9868,170.7685,171.5558,172.2219,172.9854,173.6820,174.3802,175.0408,175.7231,176.4031,177.1125,177.8086,178.5077,179.2464,179.9342,180.5975,181.3304,182.0222,182.7008,183.3703,184.0447,184.7703,185.4456,186.1064,186.8239,187.5414,188.2207,188.9360,189.4918
Player1OnsetTimes,166.1125,168.2096,169.0630,169.6487,170.1927,170.8142,171.5236,172.2939,173.0477,173.7299,174.3633,175.0081,175.6896,176.4031,177.1279,177.8383,178.5236,179.1846,179.8631,180.5504,181.2522,181.9616,182.6691,183.3523,184.0277,184.7085,185.3975,186.1064,186.8239,187.5090,188.1880,188.8713,189.5569
Player2OnsetTimes,166.0246,168.1173,169.0471,169.6933,170.2541,170.8446,171.5236,172.2775,173.0161,173.7143,174.3802,175.0408,175.7231,176.4182,177.1279,177.8238,178.5077,179.1846,179.8631,180.5504,181.2522,181.9616,182.6691,183.3523,184.0277,184.7085,185.4136,186.1218,186.8239,187.5090,188.1880,188.8713,189.5569
Player3OnsetTimes,165.8832,167.9792,169.0011,169.7552,170.3471,170.8919,171.4932,172.2055,172.9690,173.7143,174.4119,175.0706,175.7231,176.4031,177.1125,177.8238,178.5236,179.2000,179.8858,180.5651,181.2522,181.9468,182.6526,183.3523,184.0447,184.7237,185.4136,186.1064,186.8065,187.4928,188.1880,188.8865,189.5731
Player4OnsetTimes,166.4902,168.0562,168.6376,169.3286,170.1769,171.0296,171.7667,172.3735,172.9379,173.5687,174.2857,175.0556,175.8016,176.4828,177.1279,177.7751,178.4596,179.1698,179.9011,180.6122,181.2987,181.9616,182.6366,183.3198,184.0277,184.7390,185.4285,186.1064,186.7845,187.4773,188.1880,188.8865,189.5731
Player5OnsetTimes,166.0410,168.1324,169.0471,169.6933,170.2541,170.8446,171.5236,172.2775,173.0161,173.7143,174.3802,175.0408,175.7231,176.4182,177.1279,177.8238,178.5077,179.1846,179.8631,180.5504,181.2522,181.9616,182.6691,183.3523,184.0277,184.7085,185.3975,186.1064,186.8239,187.5090,188.1880,188.8713,189.5569
Player6OnsetTimes,166.1898,168.2713,169.0788,169.6176,170.1464,170.7831,171.5392,172.3269,173.0635,173.7299,174.3633,175.0081,175.6896,176.4031,177.1279,177.8383,178.5236,179.1846,179.8631,180.5504,181.2522,181.9616,182.6691,183.3523,184.0277,184.7085,185.3975,186.1064,186.8239,187.5090,188.1880,188.8713,189.5569
Player7OnsetTimes,166.5069,168.0716,168.6376,169.3140,170.1769,171.0446,171.7827,172.3735,172.9379,173.5687,174.2857,175.0556,175.8016,176.4828,177.1279,177.7751,178.4596,179.1698,179.9011,180.6122,181.2987,181.9616,182.6366,183.3198,184.0277,184.7390,185.4285,186.1064,186.7845,187.4773,188.1880,188.8865,189.5731
