Key,Value
BPM,60.0000
StartTime,202.6151
scoreCounter,20.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Mean Onset List,204.3092,206.0253,207.2566,208.3298,209.3830,210.4326,211.4877,212.5439,213.6017,214.6644,215.6788,216.6853,217.6972,218.7057,219.7144,220.7188,221.7304,222.7455,223.7586,224.7760
Mean Interval List,0.0000,1.0686,1.0398,1.0290,1.0257,1.0288,1.0315,1.0335,1.0384,0.9903,0.9825,0.9843,0.9834,0.9843,0.9831,0.9869,0.9884,0.9905,0.9935,0.9952
Timestamps,195.2498,196.6103,197.6368,199.4938,200.7088,201.8032,202.0266,202.2354,202.4198,202.6151,203.1239,203.8124,204.6949,205.6779,206.8169,207.8317,208.8378,209.9508,211.0538,212.1466,213.2996,213.3960,214.3046,215.3543,216.3441,217.3753,218.3603,219.4451,220.4795,221.5330,222.6095,223.6555,224.7420
Player1OnsetTimes,205.8024,206.3229,206.8500,208.5044,209.8400,210.7490,211.4488,212.2549,213.3176,214.5717,215.7812,216.8338,217.7537,218.6375,219.5960,220.6306,221.7029,222.7685,223.7798,224.7571
Player2OnsetTimes,204.3421,205.9137,206.9779,208.1226,209.3810,210.5798,211.6422,212.5976,213.5510,214.5717,215.6234,216.7065,217.7537,218.7525,219.7196,220.6918,221.7029,222.7320,223.7647,224.7881
Player3OnsetTimes,204.1850,206.2749,207.4598,208.3410,209.2417,210.2805,211.4324,212.5976,213.6902,214.7135,215.6687,216.6438,217.6533,218.6858,219.7196,220.7383,221.7508,222.7538,223.7491,224.7571
Player4OnsetTimes,204.2799,205.8508,206.9616,208.1535,209.4276,210.6098,211.6422,212.5814,213.5361,214.5717,215.6384,216.7225,217.7702,218.7525,219.7043,220.6763,221.7029,222.7538,223.7963,224.8029
Player5OnsetTimes,204.2165,206.3061,207.4598,208.3242,209.2261,210.2805,211.4488,212.6137,213.7129,214.7291,215.6534,216.6119,217.6370,218.7025,219.7517,220.7535,221.7341,222.7166,223.7329,224.7725
Player6OnsetTimes,203.9059,206.0115,207.3985,208.4889,209.4425,210.3779,211.3839,212.4863,213.6126,214.7135,215.7166,216.6916,217.6688,218.6695,219.7043,220.7383,221.7669,222.7685,223.7647,224.7725
Player7OnsetTimes,203.8269,205.9297,207.3827,208.5213,209.4887,210.4089,211.3839,212.4555,213.5824,214.7135,215.7502,216.7225,217.6917,218.6695,219.6887,220.7232,221.7508,222.7685,223.7647,224.7725
Player8OnsetTimes,205.2153,206.2584,207.1195,207.9972,209.1468,210.4243,211.6422,212.6987,213.6445,214.5881,215.5622,216.6119,217.7068,218.7688,219.7681,220.7232,221.6878,222.6851,223.7169,224.7725
Player9OnsetTimes,204.3578,205.9297,206.9931,208.1226,209.3653,210.5637,211.6422,212.6137,213.5670,214.5881,215.6234,216.6916,217.7384,218.7525,219.7356,220.7070,221.7029,222.7320,223.7647,224.7881
