Key,Value
BPM,120.0000
StartTime,198.9727
scoreCounter,81.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Player8OnsetTimes,200.3017,202.9233,203.7466,204.1190,204.4196,205.3532,205.9944,207.0150,207.6447,208.0902,208.8673,209.3300,209.8912,211.2328,211.9184,212.3012,212.9460,213.3783,214.2110,214.8737,215.4478,215.9883,217.1341,217.7831,218.1137,218.8962,219.4909,220.5165,221.1128,221.4696,222.3518,222.9692,223.4067,224.3758,224.9554,225.3014,226.0751,226.6864,227.1871,228.2411,228.8328,229.1975,229.9174,230.4582,230.9065,231.9207,232.4953,232.8223,233.1380,233.5981,234.2292,234.9079,235.5241,236.0276,236.4786,236.9460,237.4773,238.0566,238.6380,239.1935,239.7025,240.1935,240.7055,241.2328,241.7741,242.3096,242.8387,243.3716,243.8964,244.4125,244.9341,245.4615,246.0023,246.5345,247.0516,247.5679,248.0910,248.6261,249.1732,249.7055,250.2234
Player9OnsetTimes,200.5465,202.6452,203.2833,203.8571,204.4973,205.1502,206.3342,206.9996,207.3933,207.8484,208.9906,209.6440,210.1221,211.0268,211.5491,212.0934,212.6903,213.8973,214.5097,214.8100,215.5241,216.1187,216.6438,217.7831,218.4742,218.8805,219.5852,220.1161,221.1585,221.8231,222.2433,222.9692,223.4984,223.9862,225.0175,225.6531,226.0133,226.7507,227.3121,227.7925,228.8175,229.5126,229.8862,230.5101,230.9864,231.4671,231.9991,232.6657,233.3451,233.9420,234.4367,234.8763,235.3515,235.8867,236.4786,237.0707,237.6190,238.1173,238.6076,239.1147,239.6567,240.2265,240.7679,241.2798,241.7918,242.3096,242.8387,243.3716,243.8964,244.4286,244.9657,245.4921,246.0175,246.5345,247.0516,247.5834,248.1232,248.6591,249.1732,249.6899,250.2072
Player10OnsetTimes,200.2240,202.8471,203.7123,204.1354,204.4671,205.3688,205.9792,206.9843,207.6295,208.0902,208.8831,209.3448,209.8912,211.2169,211.9032,212.3012,212.9460,213.3783,214.2110,214.8737,215.4478,215.9883,217.1341,217.7831,218.1137,218.8962,219.5060,220.5319,221.1128,221.4696,222.3518,222.9692,223.4067,224.3758,224.9554,225.3014,226.0751,226.6864,227.2019,228.2575,228.8480,229.1975,229.9016,230.4423,230.9065,231.9521,232.5273,232.8385,233.1227,233.5669,234.1969,234.9079,235.5394,236.0425,236.4786,236.9460,237.4773,238.0566,238.6380,239.1935,239.7025,240.1935,240.7055,241.2328,241.7741,242.3254,242.8552,243.3716,243.8814,244.3971,244.9341,245.4767,246.0175,246.5345,247.0516,247.5679,248.0910,248.6261,249.1732,249.7055,250.2234
Player11OnsetTimes,200.2240,202.8471,203.7123,204.1354,204.4671,205.3688,205.9792,206.9843,207.6295,208.0902,208.8831,209.3448,209.8912,211.2169,211.9032,212.3012,212.9460,213.3783,214.2110,214.8737,215.4478,215.9883,217.1341,217.7831,218.1137,218.8962,219.5060,220.5319,221.1128,221.4696,222.3518,222.9692,223.4067,224.3758,224.9554,225.3014,226.0751,226.6864,227.2019,228.2575,228.8480,229.1975,229.9016,230.4423,230.9065,231.9521,232.5273,232.8385,233.1227,233.5669,234.1969,234.9079,235.5394,236.0425,236.4786,236.9460,237.4773,238.0566,238.6380,239.1935,239.7025,240.1935,240.7055,241.2328,241.7741,242.3254,242.8552,243.3716,243.8814,244.3971,244.9341,245.4767,246.0175,246.5345,247.0516,247.5679,248.0910,248.6261,249.1732,249.7055,250.2234
Player12OnsetTimes,200.6105,202.7072,203.2988,203.8268,204.4520,205.1350,206.3820,207.0623,207.4263,207.8325,208.9291,209.5827,210.1069,211.0907,211.6123,212.1094,212.6585,213.8317,214.4629,214.8100,215.5878,216.1819,216.6591,217.6901,218.3663,218.8330,219.6931,220.2592,221.1585,221.7164,222.1354,223.0156,223.6259,224.0798,224.9245,225.4860,225.9039,226.8771,227.5109,227.8998,228.6153,229.2282,229.7617,230.2823,230.8437,231.4824,232.1228,232.7729,233.3780,233.8954,234.3562,234.8447,235.3823,235.9491,236.5086,237.0542,237.5879,238.1020,238.6225,239.1468,239.6870,240.2265,240.7531,241.2798,241.8067,242.3254,242.8552,243.3866,243.9128,244.4286,244.9497,245.4767,246.0175,246.5496,247.0677,247.5834,248.1074,248.6420,249.1732,249.7055,250.2390
Player13OnsetTimes,200.1612,202.7852,203.6972,204.1656,204.5127,205.3846,205.9642,206.9352,207.5821,208.0902,208.9586,209.4251,209.9216,211.1235,211.7814,212.2536,212.6738,213.6300,214.2419,214.7297,215.8227,216.4689,216.7703,217.3703,217.9570,219.3308,220.0506,220.2592,220.7979,221.8846,222.5564,222.8620,223.4521,224.0021,224.5455,225.7782,226.4637,226.7325,227.1712,228.1445,228.7401,229.1665,229.5928,230.7128,231.3874,231.7154,232.1529,232.6197,233.1691,233.7705,234.3722,234.9236,235.4284,235.9184,236.4312,236.9763,237.5405,238.1020,238.6380,239.1468,239.6567,240.1784,240.7203,241.2637,241.8067,242.3254,242.8387,243.3560,243.8814,244.4125,244.9497,245.4767,246.0023,246.5192,247.0360,247.5679,248.1074,248.6420,249.1732,249.6899,250.2072
Player14OnsetTimes,200.4539,202.5658,203.2675,203.9032,204.5594,205.1805,206.2879,206.9352,207.3622,207.8633,209.0678,209.7050,210.1385,210.9508,211.4509,212.0466,212.7066,213.9755,214.5889,214.8253,215.4478,216.0376,217.1812,217.7984,218.0985,218.8642,219.4909,220.5789,221.1740,221.5010,222.3060,222.9088,223.3913,224.4521,225.0488,225.3465,225.9961,226.5778,227.1548,228.3693,228.9956,229.2742,229.7771,230.2664,230.8274,231.4824,232.1228,232.7729,233.3623,233.8801,234.3562,234.8447,235.3668,235.9335,236.5086,237.0542,237.5725,238.0872,238.6076,239.1468,239.6870,240.2265,240.7531,241.2637,241.7918,242.3254,242.8552,243.3866,243.9128,244.4286,244.9497,245.4767,246.0023,246.5345,247.0677,247.6013,248.1232,248.6420,249.1575,249.6899,250.2234
Player15OnsetTimes,201.2802,202.8471,203.3768,203.7957,204.9197,205.6193,205.9029,206.5269,207.2230,208.0119,208.7070,209.7353,210.4127,210.7957,211.3897,212.0769,212.7715,213.3783,214.4784,215.1514,215.5394,216.2310,216.7387,217.6901,218.3042,218.7552,219.6931,220.3070,220.7514,221.7775,222.4927,222.8941,223.2366,224.3136,225.0175,225.4077,226.1062,226.6543,227.1383,228.2411,228.8811,229.2441,229.9016,230.4093,230.8761,231.9667,232.5723,232.8700,233.1227,233.5517,234.1802,234.8924,235.5394,236.0581,236.4939,236.9460,237.4773,238.0566,238.6380,239.1935,239.7025,240.1935,240.7055,241.2328,241.7741,242.3254,242.8552,243.3716,243.8814,244.3971,244.9341,245.4767,246.0175,246.5496,247.0677,247.5834,248.1074,248.6261,249.1575,249.6899,250.2234
Player16OnsetTimes,200.3474,202.4550,203.2369,203.9485,204.6204,205.2125,206.2409,206.8581,207.3158,207.8800,209.1453,209.7813,210.1532,210.8584,211.3587,212.0157,212.7553,213.4090,214.5412,215.1983,215.5394,216.1654,216.6750,217.7509,218.4287,218.8485,219.6160,220.1791,221.2049,221.8231,222.2115,222.9545,223.5139,224.0166,224.5302,225.7631,226.4793,226.7657,227.2019,228.1592,228.7559,229.1819,229.6076,230.7298,231.4185,231.7464,232.1834,232.6350,233.1851,233.7856,234.3884,234.9393,235.4434,235.9335,236.4461,236.9926,237.5560,238.1173,238.6530,239.1620,239.6721,240.1935,240.7203,241.2637,241.8067,242.3410,242.8552,243.3716,243.8964,244.4286,244.9657,245.4921,246.0175,246.5345,247.0516,247.5834,248.1232,248.6591,249.1732,249.6899,250.2072
Player17OnsetTimes,200.3790,202.4868,203.2523,203.9485,204.6204,205.2125,206.2409,206.8581,207.3158,207.8800,209.1453,209.7664,210.1385,210.8733,211.3743,212.0303,212.7553,213.4090,214.5412,215.1983,215.5394,216.1654,216.6750,217.7509,218.4287,218.8485,219.6160,220.1791,221.1899,221.8082,222.2115,222.9692,223.5296,224.0166,224.5154,225.7477,226.4637,226.7657,227.2332,228.1890,228.7559,229.1665,229.5928,230.7128,231.4032,231.7301,232.1682,232.6350,233.1851,233.7856,234.3884,234.9393,235.4434,235.9335,236.4461,236.9926,237.5560,238.1173,238.6530,239.1620,239.6721,240.1935,240.7203,241.2637,241.8067,242.3410,242.8552,243.3716,243.8964,244.4286,244.9657,245.4921,246.0175,246.5345,247.0516,247.5834,248.1232,248.6591,249.1732,249.6899,250.2072
