Key,Value
BPM,120.0000
StartTime,198.9727
scoreCounter,81.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Player28OnsetTimes,200.7671,202.8622,203.3294,204.1503,204.7495,205.1969,206.0101,206.6352,207.2530,207.9641,208.6427,209.7664,210.5045,210.8733,211.3426,211.9836,212.7240,213.4090,213.9926,214.6382,215.3855,216.1187,216.7545,217.3380,217.9570,218.6941,219.4275,220.1161,220.7817,221.4696,222.1808,222.8478,223.4521,224.0631,224.6402,225.2570,225.9191,226.6086,227.2806,227.8998,228.4640,229.1209,229.8075,230.4423,231.0164,231.5898,232.1382,232.7577,233.3929,233.9569,234.4532,234.9236,235.4284,235.9798,236.5547,237.1184,237.6494,238.1649,238.6691,239.1935,239.7337,240.2748,240.7999,241.3259,241.8553,242.3730,242.8867,243.4194,243.9622,244.4941,245.0149,245.5220,246.0325,246.5651,247.1018,247.6471,248.1722,248.6907,249.2036,249.7215,250.2540
Player29OnsetTimes,201.4964,202.5499,203.0793,204.3395,205.1178,205.4158,205.9184,206.8123,207.4877,208.0591,209.0358,209.5210,209.9522,210.9966,211.6276,212.1715,212.6903,213.7376,214.3382,214.7455,215.6837,216.3103,216.7071,217.5310,218.1604,218.7247,219.8643,220.4997,220.8138,221.5647,222.2115,222.7596,223.2978,223.9369,224.5923,225.2570,225.9191,226.5778,227.2019,227.8076,228.4031,229.0898,229.7771,230.4093,230.9864,231.5442,232.0914,232.7119,233.3451,233.9109,234.4208,234.9079,235.3975,235.9335,236.4939,237.0542,237.6033,238.1327,238.6530,239.1620,239.6870,240.2265,240.7679,241.2953,241.8231,242.3410,242.8552,243.3866,243.9290,244.4596,244.9824,245.4921,246.0175,246.5496,247.0857,247.6161,248.1406,248.6591,249.1732,249.7055,250.2390
Player30OnsetTimes,200.6268,202.7229,203.2988,203.8112,204.4365,205.1350,206.4130,207.0942,207.4263,207.8170,208.9136,209.5827,210.1221,211.1083,211.6276,212.1094,212.6416,213.8166,214.4629,214.8100,215.5878,216.1819,216.6591,217.6901,218.3663,218.8330,219.6931,220.2592,221.1435,221.7014,222.1196,223.0156,223.6409,224.0958,224.9088,225.4553,225.8875,226.9077,227.5565,227.9299,228.5847,229.1819,229.7304,230.2823,230.8761,231.5142,232.1228,232.7577,233.3623,233.8954,234.3722,234.8600,235.3823,235.9335,236.4939,237.0542,237.5879,238.1020,238.6225,239.1468,239.6870,240.2265,240.7531,241.2798,241.8067,242.3254,242.8552,243.3866,243.9128,244.4286,244.9497,245.4767,246.0175,246.5496,247.0677,247.5834,248.1074,248.6420,249.1732,249.7055,250.2390
Player31OnsetTimes,200.1157,202.7383,203.6972,204.2151,204.5594,205.3532,205.9029,206.9203,207.6140,208.1202,208.9291,209.3772,209.8912,211.1698,211.8560,212.2858,212.6585,213.5685,214.1958,214.7297,215.3232,216.6261,217.2904,217.4825,218.1297,218.7406,219.9249,220.5633,220.8455,221.5010,222.1354,222.7276,223.3292,223.9862,224.6237,225.2570,225.9039,226.5621,227.2019,227.8391,228.4333,229.1059,229.7771,230.4093,230.9864,231.5596,232.1072,232.7273,233.3451,233.9109,234.4208,234.9079,235.4126,235.9491,236.5086,237.0707,237.6033,238.1173,238.6380,239.1620,239.7025,240.2447,240.7679,241.2953,241.8231,242.3410,242.8704,243.4039,243.9290,244.4446,244.9657,245.4921,246.0325,246.5651,247.0857,247.6161,248.1406,248.6591,249.1886,249.7215,250.2540
Player32OnsetTimes,200.5616,202.6605,203.2833,203.8418,204.4825,205.1502,206.3666,207.0304,207.3933,207.8325,208.9748,209.6284,210.1221,211.0422,211.5651,212.0934,212.6738,213.8813,214.5097,214.8100,215.5241,216.1187,216.6438,217.7831,218.4742,218.8805,219.5852,220.1161,221.1585,221.8231,222.2433,222.9692,223.4984,223.9862,225.0175,225.6531,226.0133,226.7507,227.3121,227.7925,228.8175,229.5126,229.8862,230.5101,230.9864,231.4671,231.9991,232.6657,233.3451,233.9420,234.4367,234.8763,235.3515,235.8867,236.4786,237.0707,237.6190,238.1173,238.6076,239.1147,239.6567,240.2265,240.7679,241.2798,241.7918,242.3096,242.8387,243.3716,243.8964,244.4286,244.9657,245.4921,246.0175,246.5345,247.0516,247.5834,248.1232,248.6591,249.1732,249.6899,250.2072
Player33OnsetTimes,201.2180,202.7852,203.0643,203.9940,204.7808,205.3385,206.1163,206.6352,207.1740,207.8982,208.6260,209.8421,210.5822,210.8889,211.4197,212.0466,212.7240,213.3623,214.5253,215.1983,215.5555,216.1819,216.6750,217.7055,218.3663,218.8179,219.6622,220.2428,221.1740,221.7468,222.1501,222.9854,223.5766,224.0471,224.9554,225.5465,225.9342,226.8139,227.4326,227.8698,228.7084,229.3378,229.7922,230.6658,231.2006,231.5596,232.2893,232.8870,233.3451,233.7705,234.2450,234.8122,235.4126,235.9961,236.5244,237.0228,237.5247,238.0566,238.6076,239.1620,239.7025,240.2265,240.7370,241.2484,241.7741,242.3096,242.8387,243.3716,243.8964,244.4125,244.9341,245.4615,246.0023,246.5345,247.0677,247.5834,248.1074,248.6261,249.1575,249.6899,250.2234
Player34OnsetTimes,201.0759,202.6452,203.1413,204.2763,205.0103,205.3532,206.0101,207.0150,207.6295,208.0591,208.8344,209.3151,209.8912,211.2490,211.9184,212.2858,212.8996,213.7849,214.2260,214.9505,215.4933,216.4380,216.9608,217.5942,218.0366,219.0652,219.7085,220.0842,220.9237,221.5947,222.1653,222.6812,223.2517,223.9369,224.6237,225.2866,225.9191,226.5453,227.1712,227.8076,228.4183,229.1059,229.7771,230.3928,230.9546,231.5286,232.0914,232.7273,233.3623,233.9265,234.4208,234.8924,235.3823,235.9184,236.4939,237.0707,237.6190,238.1327,238.6380,239.1468,239.6721,240.2265,240.7679,241.2953,241.8067,242.3254,242.8552,243.3866,243.9128,244.4446,244.9657,245.4921,246.0175,246.5496,247.0857,247.6161,248.1406,248.6591,249.1732,249.6899,250.2234
Player35OnsetTimes,200.3017,202.9233,203.7466,204.1190,204.4196,205.3532,205.9944,207.0150,207.6447,208.0902,208.8673,209.3300,209.8912,211.2328,211.9184,212.3012,212.9460,213.3783,214.2110,214.8737,215.4478,215.9883,217.1341,217.7831,218.1137,218.8962,219.4909,220.5165,221.1128,221.4696,222.3518,222.9692,223.4067,224.3758,224.9554,225.3014,226.0751,226.6864,227.1871,228.2411,228.8328,229.1975,229.9174,230.4582,230.9065,231.9207,232.4953,232.8223,233.1380,233.5981,234.2292,234.9079,235.5241,236.0276,236.4786,236.9460,237.4773,238.0566,238.6380,239.1935,239.7025,240.1935,240.7055,241.2328,241.7741,242.3096,242.8387,243.3716,243.8964,244.4125,244.9341,245.4615,246.0023,246.5345,247.0516,247.5679,248.0910,248.6261,249.1732,249.7055,250.2234
Player36OnsetTimes,200.4693,202.5813,203.2675,203.8876,204.5428,205.1805,206.3046,206.9522,207.3622,207.8484,209.0521,209.7050,210.1385,210.9508,211.4509,212.0466,212.7066,213.9755,214.5889,214.8253,215.4478,216.0376,217.1812,217.7984,218.0985,218.8642,219.4909,220.5789,221.1740,221.5010,222.3060,222.9088,223.3913,224.4521,225.0488,225.3465,225.9961,226.5778,227.1548,228.3693,228.9956,229.2742,229.7771,230.2664,230.8274,231.4824,232.1228,232.7729,233.3623,233.8801,234.3562,234.8447,235.3668,235.9335,236.5086,237.0542,237.5725,238.0872,238.6076,239.1468,239.6870,240.2265,240.7531,241.2637,241.7918,242.3254,242.8552,243.3866,243.9128,244.4286,244.9497,245.4767,246.0023,246.5345,247.0677,247.6013,248.1232,248.6420,249.1575,249.6899,250.2234
Player37OnsetTimes,201.2180,202.7852,203.0643,203.9940,204.7808,205.3385,206.1163,206.6352,207.1740,207.8982,208.6260,209.8421,210.5822,210.8889,211.4197,212.0466,212.7240,213.3623,214.5253,215.1983,215.5555,216.1819,216.6750,217.7055,218.3663,218.8179,219.6622,220.2428,221.1740,221.7468,222.1501,222.9854,223.5766,224.0471,224.9554,225.5465,225.9342,226.8139,227.4326,227.8698,228.7084,229.3378,229.7922,230.6658,231.2006,231.5596,232.2893,232.8870,233.3451,233.7705,234.2450,234.8122,235.4126,235.9961,236.5244,237.0228,237.5247,238.0566,238.6076,239.1620,239.7025,240.2265,240.7370,241.2484,241.7741,242.3096,242.8387,243.3716,243.8964,244.4125,244.9341,245.4615,246.0023,246.5345,247.0677,247.5834,248.1074,248.6261,249.1575,249.6899,250.2234
Player38OnsetTimes,200.7824,202.8773,203.3454,204.1503,204.7495,205.1969,206.0101,206.6352,207.2530,207.9641,208.6427,209.7664,210.5045,210.8584,211.3269,211.9836,212.7401,213.4238,214.0083,214.6537,215.3855,216.1032,216.7387,217.3229,217.9570,218.7099,219.4588,220.1327,220.7667,221.4389,222.1653,222.8478,223.4674,224.0798,224.6560,225.2570,225.9039,226.5927,227.2657,227.8998,228.4790,229.1364,229.8075,230.4423,231.0164,231.5898,232.1382,232.7577,233.3929,233.9569,234.4532,234.9236,235.4284,235.9798,236.5547,237.1184,237.6494,238.1649,238.6691,239.1935,239.7337,240.2748,240.7999,241.3259,241.8553,242.3730,242.8867,243.4194,243.9622,244.4941,245.0149,245.5220,246.0325,246.5651,247.1018,247.6471,248.1722,248.6907,249.2036,249.7215,250.2540
Player39OnsetTimes,201.1715,202.7383,203.0951,204.0874,204.8590,205.3532,206.0101,207.0150,207.6295,208.0591,208.8515,209.3300,209.9068,211.2490,211.9184,212.2858,212.8996,213.7849,214.2260,214.9505,215.5087,215.9883,217.0105,217.6595,218.0672,219.0032,219.6308,220.0694,221.0329,221.7164,222.2115,222.6508,223.7342,224.4365,224.7656,225.3614,225.8875,227.0147,227.6493,227.9299,228.4183,229.5752,230.2308,230.4937,230.9226,231.8599,232.4166,232.7729,233.1380,233.6303,234.2450,234.8924,235.4917,236.0114,236.4786,236.9617,237.4924,238.0566,238.6225,239.1620,239.6721,240.1784,240.6898,241.2328,241.7918,242.3254,242.8387,243.3407,243.8643,244.3971,244.9341,245.4615,245.9865,246.5192,247.0516,247.5834,248.1074,248.6261,249.1409,249.6590,250.1914
Player40OnsetTimes,200.3323,202.4397,203.2369,203.9640,204.6366,205.2283,206.2253,206.8278,207.2996,207.8800,209.1753,209.8118,210.1687,210.8424,211.3269,212.0001,212.7553,213.4238,213.9926,214.6382,215.3855,216.1187,216.7545,217.3380,217.9721,218.7099,219.4427,220.1327,220.7979,221.4696,222.1808,222.8478,223.4521,224.0631,224.6560,225.2715,225.9191,226.6086,227.2806,227.9148,228.4943,229.1517,229.8075,230.4269,231.0164,231.6050,232.1682,232.7896,233.3929,233.9420,234.4367,234.9236,235.4434,235.9961,236.5547,237.1031,237.6340,238.1649,238.6845,239.2085,239.7337,240.2748,240.8165,241.3426,241.8553,242.3730,242.9040,243.4355,243.9622,244.4941,245.0149,245.5390,246.0635,246.5816,247.1018,247.6320,248.1722,248.7057,249.2200,249.7369,250.2540
Player41OnsetTimes,200.2545,202.8773,203.7290,204.1354,204.4520,205.3532,205.9792,206.9996,207.6447,208.0902,208.8673,209.3300,209.8912,211.2328,211.9184,212.3012,212.9460,213.3783,214.2110,214.8737,215.4478,215.9883,217.1341,217.7831,218.1137,218.8962,219.5060,220.5319,221.1128,221.4696,222.3518,222.9692,223.4067,224.3758,224.9554,225.3014,226.0751,226.6864,227.2019,228.2575,228.8328,229.1819,229.9016,230.4423,230.9065,231.9355,232.5118,232.8223,233.1227,233.5831,234.2122,234.9079,235.5394,236.0425,236.4786,236.9460,237.4773,238.0566,238.6380,239.1935,239.7025,240.1935,240.7055,241.2328,241.7741,242.3254,242.8552,243.3716,243.8814,244.3971,244.9341,245.4767,246.0175,246.5345,247.0516,247.5679,248.0910,248.6261,249.1732,249.7055,250.2234
Player42OnsetTimes,200.7824,202.8773,203.3454,204.1503,204.7495,205.1969,206.0101,206.6352,207.2530,207.9641,208.6427,209.7664,210.5045,210.8584,211.3269,211.9836,212.7401,213.4238,214.0083,214.6537,215.3855,216.1032,216.7387,217.3229,217.9570,218.7099,219.4588,220.1327,220.7667,221.4389,222.1653,222.8478,223.4674,224.0798,224.6560,225.2570,225.9039,226.5927,227.2657,227.8998,228.4790,229.1364,229.8075,230.4423,231.0164,231.5898,232.1382,232.7577,233.3929,233.9569,234.4532,234.9236,235.4284,235.9798,236.5547,237.1184,237.6494,238.1649,238.6691,239.1935,239.7337,240.2748,240.7999,241.3259,241.8553,242.3730,242.8867,243.4194,243.9622,244.4941,245.0149,245.5220,246.0325,246.5651,247.1018,247.6471,248.1722,248.6907,249.2036,249.7215,250.2540
Player43OnsetTimes,201.0759,202.6452,203.1413,204.2763,205.0103,205.3532,206.0101,207.0150,207.6295,208.0591,208.8344,209.3151,209.8912,211.2490,211.9184,212.2858,212.8996,213.7849,214.2260,214.9505,215.4933,216.4380,216.9608,217.5942,218.0366,219.0652,219.7085,220.0842,220.9237,221.5947,222.1653,222.6812,223.2517,223.9369,224.6237,225.2866,225.9191,226.5453,227.1712,227.8076,228.4183,229.1059,229.7771,230.3928,230.9546,231.5286,232.0914,232.7273,233.3623,233.9265,234.4208,234.8924,235.3823,235.9184,236.4939,237.0707,237.6190,238.1327,238.6380,239.1468,239.6721,240.2265,240.7679,241.2953,241.8067,242.3254,242.8552,243.3866,243.9128,244.4446,244.9657,245.4921,246.0175,246.5496,247.0857,247.6161,248.1406,248.6591,249.1732,249.6899,250.2234
Player44OnsetTimes,200.3940,202.5026,203.2523,203.9334,204.6043,205.2125,206.2556,206.8751,207.3315,207.8800,209.1141,209.7353,210.1221,210.8889,211.4044,212.0466,212.7553,213.3939,214.5253,215.1983,215.5555,216.1819,216.6750,217.7205,218.3978,218.8485,219.6622,220.2267,221.1740,221.7624,222.1653,222.9854,223.5766,224.0631,224.5302,225.7004,226.4173,226.7507,227.2806,228.2411,228.7707,229.1364,229.9650,230.5587,230.9864,231.8751,232.4014,232.7729,233.1533,233.6613,234.2762,234.9236,235.5087,236.0114,236.4786,236.9617,237.5079,238.0872,238.6530,239.1935,239.7025,240.2101,240.7203,241.2484,241.7918,242.3254,242.8552,243.3716,243.8964,244.4286,244.9497,245.4767,246.0023,246.5345,247.0677,247.6013,248.1232,248.6420,249.1575,249.6899,250.2234
Player45OnsetTimes,200.3017,202.9233,203.7466,204.1190,204.4196,205.3532,205.9944,207.0150,207.6447,208.0902,208.8673,209.3300,209.8912,211.2328,211.9184,212.3012,212.9460,213.3783,214.2110,214.8737,215.4478,215.9883,217.1341,217.7831,218.1137,218.8962,219.4909,220.5165,221.1128,221.4696,222.3518,222.9692,223.4067,224.3758,224.9554,225.3014,226.0751,226.6864,227.1871,228.2411,228.8328,229.1975,229.9174,230.4582,230.9065,231.9207,232.4953,232.8223,233.1380,233.5981,234.2292,234.9079,235.5241,236.0276,236.4786,236.9460,237.4773,238.0566,238.6380,239.1935,239.7025,240.1935,240.7055,241.2328,241.7741,242.3096,242.8387,243.3716,243.8964,244.4125,244.9341,245.4615,246.0023,246.5345,247.0516,247.5679,248.0910,248.6261,249.1732,249.7055,250.2234
Player46OnsetTimes,200.2240,202.8471,203.7123,204.1354,204.4671,205.3688,205.9792,206.9843,207.6295,208.0902,208.8831,209.3448,209.8912,211.2169,211.9032,212.3012,212.9460,213.3783,214.2110,214.8737,215.4478,215.9883,217.1341,217.7831,218.1137,218.8962,219.5060,220.5319,221.1128,221.4696,222.3518,222.9692,223.4067,224.3758,224.9554,225.3014,226.0751,226.6864,227.2019,228.2575,228.8480,229.1975,229.9016,230.4423,230.9065,231.9521,232.5273,232.8385,233.1227,233.5669,234.1969,234.9079,235.5394,236.0425,236.4786,236.9460,237.4773,238.0566,238.6380,239.1935,239.7025,240.1935,240.7055,241.2328,241.7741,242.3254,242.8552,243.3716,243.8814,244.3971,244.9341,245.4767,246.0175,246.5345,247.0516,247.5679,248.0910,248.6261,249.1732,249.7055,250.2234
Player47OnsetTimes,200.2861,202.9079,203.7290,204.1190,204.4365,205.3688,206.0101,206.9996,207.6140,208.0591,208.8673,209.3624,209.9216,211.2169,211.8732,212.2707,212.9773,213.4393,214.2260,214.8410,215.4016,216.5297,217.1341,217.3863,218.0201,218.6941,219.3669,220.7033,221.3899,221.6253,222.1042,223.0944,223.7189,224.1113,224.7967,225.3319,225.8418,227.0297,227.7115,227.9908,228.4183,229.4972,230.1530,230.4746,231.0164,231.5142,231.9991,232.6197,233.2978,233.9109,234.4208,234.8763,235.3515,235.8867,236.4626,237.0388,237.5879,238.1020,238.6076,239.1147,239.6414,240.1935,240.7370,241.2637,241.7918,242.3096,242.8220,243.3560,243.8964,244.4286,244.9497,245.4615,245.9865,246.5192,247.0516,247.5834,248.1074,248.6261,249.1575,249.6899,250.2234
Player48OnsetTimes,200.2861,202.9079,203.7290,204.1190,204.4365,205.3688,206.0101,206.9996,207.6140,208.0591,208.8673,209.3624,209.9216,211.2169,211.8732,212.2707,212.9773,213.4393,214.2260,214.8410,215.4016,216.5297,217.1341,217.3863,218.0201,218.6941,219.3669,220.7033,221.3899,221.6253,222.1042,223.0944,223.7189,224.1113,224.7967,225.3319,225.8418,227.0297,227.7115,227.9908,228.4183,229.4972,230.1530,230.4746,231.0164,231.5142,231.9991,232.6197,233.2978,233.9109,234.4208,234.8763,235.3515,235.8867,236.4626,237.0388,237.5879,238.1020,238.6076,239.1147,239.6414,240.1935,240.7370,241.2637,241.7918,242.3096,242.8220,243.3560,243.8964,244.4286,244.9497,245.4615,245.9865,246.5192,247.0516,247.5834,248.1074,248.6261,249.1575,249.6899,250.2234
Player49OnsetTimes,200.2240,202.8471,203.7123,204.1354,204.4671,205.3688,205.9792,206.9843,207.6295,208.0902,208.8831,209.3448,209.8912,211.2169,211.9032,212.3012,212.9460,213.3783,214.2110,214.8737,215.4478,215.9883,217.1341,217.7831,218.1137,218.8962,219.5060,220.5319,221.1128,221.4696,222.3518,222.9692,223.4067,224.3758,224.9554,225.3014,226.0751,226.6864,227.2019,228.2575,228.8480,229.1975,229.9016,230.4423,230.9065,231.9521,232.5273,232.8385,233.1227,233.5669,234.1969,234.9079,235.5394,236.0425,236.4786,236.9460,237.4773,238.0566,238.6380,239.1935,239.7025,240.1935,240.7055,241.2328,241.7741,242.3254,242.8552,243.3716,243.8814,244.3971,244.9341,245.4767,246.0175,246.5345,247.0516,247.5679,248.0910,248.6261,249.1732,249.7055,250.2234
Player50OnsetTimes,200.4241,202.5342,203.2523,203.9032,204.5749,205.2125,206.3046,206.9203,207.3315,207.8484,209.0827,209.7353,210.1532,210.9192,211.4197,212.0303,212.7240,213.3783,214.5723,215.2441,215.5711,216.1344,217.1191,217.6753,218.0201,218.9571,219.6308,220.1161,221.0978,221.7624,222.2264,223.0475,223.5914,224.0166,224.9088,225.5165,225.9496,226.8922,227.4948,227.8851,228.6308,229.2590,229.7771,230.2823,230.8437,231.4984,232.1382,232.7896,233.3780,233.8801,234.3562,234.8447,235.3823,235.9491,236.5244,237.0707,237.5879,238.0872,238.6076,239.1468,239.6870,240.2265,240.7531,241.2798,241.8067,242.3254,242.8552,243.3866,243.9128,244.4446,244.9657,245.4921,246.0175,246.5345,247.0677,247.6013,248.1232,248.6420,249.1732,249.7055,250.2390
Player51OnsetTimes,200.4394,202.5499,203.2675,203.9189,204.5749,205.1969,206.2879,206.9203,207.3466,207.8633,209.0678,209.7050,210.1385,210.9508,211.4509,212.0466,212.7066,213.3443,214.5565,215.2595,215.5878,216.1187,217.0574,217.6269,218.0201,219.0490,219.7234,220.1327,220.9869,221.6402,222.1808,222.6812,223.2517,223.9527,224.6560,225.3319,225.9659,226.5778,227.1871,227.8076,228.4183,229.1209,229.8075,230.4269,230.9864,231.5442,232.0914,232.7273,233.3780,233.9569,234.4532,234.9079,235.3975,235.9491,236.5244,237.0878,237.6190,238.1327,238.6530,239.1775,239.7025,240.2447,240.7836,241.3111,241.8405,242.3578,242.8704,243.3866,243.9128,244.4446,244.9824,245.5220,246.0490,246.5651,247.0857,247.6161,248.1406,248.6740,249.2036,249.7215,250.2390
Player52OnsetTimes,200.1306,202.7535,203.6972,204.1980,204.5428,205.3532,205.9184,206.9352,207.6295,208.1355,208.9291,209.3624,209.8912,211.1862,211.8732,212.2858,212.6416,213.5524,214.1958,214.7455,215.3380,215.9690,216.6261,217.3057,218.0201,218.7705,219.4588,220.0842,220.7214,221.4223,222.1808,222.8620,223.4521,224.0471,224.6237,225.2426,225.9039,226.5927,227.2657,227.8998,228.4790,229.1364,229.7922,230.4093,231.0010,231.5898,232.1529,232.7729,233.3780,233.9265,234.4208,234.9079,235.4284,235.9798,236.5398,237.0878,237.6190,238.1486,238.6691,239.1935,239.7179,240.2594,240.7999,241.3259,241.8405,242.3578,242.8867,243.4194,243.9446,244.4792,244.9977,245.5220,246.0490,246.5816,247.1018,247.6161,248.1406,248.6740,249.2036,249.7369,250.2710
Player53OnsetTimes,200.2701,202.8925,203.7290,204.1190,204.4365,205.3688,206.0101,206.5096,207.7388,208.5430,208.8673,209.2851,210.3964,211.1083,211.4197,212.3604,213.0397,213.4393,214.1337,214.7455,215.3699,216.0039,216.6261,217.9227,218.6291,218.9268,219.3833,220.3707,221.0329,221.5010,222.0112,223.2044,223.9039,224.2219,224.6560,225.5619,226.1684,226.5927,227.4634,228.0516,228.4486,229.4480,230.0908,230.4423,230.7606,231.7990,232.4807,232.9023,233.2349,233.6460,234.1969,234.8447,235.4757,236.0276,236.5086,236.9763,237.4924,238.0566,238.6225,239.1775,239.7025,240.2101,240.7203,241.2484,241.7918,242.3254,242.8552,243.3716,243.8814,244.3971,244.9341,245.4767,246.0175,246.5345,247.0516,247.5679,248.0910,248.6261,249.1732,249.7055,250.2234
Player54OnsetTimes,200.4844,202.5968,203.2833,203.8876,204.5279,205.1657,206.3195,206.9688,207.3785,207.8633,209.0358,209.6741,210.1221,210.9811,211.5003,212.0769,212.7066,213.9292,214.5253,214.7940,215.4933,216.1032,216.6438,217.7831,218.4742,218.8805,219.5852,220.1161,221.1740,221.8378,222.2433,222.9545,223.4836,223.9862,224.5154,225.7933,226.5103,226.7819,227.1871,228.1138,228.7084,229.1665,229.6232,230.7458,231.4185,231.7301,232.1529,232.6197,233.1851,233.8022,234.4044,234.9393,235.4284,235.9184,236.4461,237.0079,237.5725,238.1173,238.6380,239.1468,239.6567,240.1935,240.7370,241.2798,241.8067,242.3254,242.8387,243.3560,243.8814,244.4125,244.9497,245.4767,246.0023,246.5345,247.0677,247.6013,248.1232,248.6420,249.1575,249.6899,250.2234
Player55OnsetTimes,200.2545,202.8773,203.7290,204.1354,204.4520,205.3532,205.9792,206.9996,207.6447,208.0902,208.8673,209.3300,209.8912,211.2328,211.9184,212.3012,212.6224,213.4881,214.1494,214.7455,215.3699,216.0039,216.6261,217.9227,218.6291,218.9268,219.3981,220.3866,221.0485,221.5159,222.0112,223.1883,223.8889,224.2219,224.6877,225.6077,226.1994,226.5927,227.4326,228.0207,228.4333,229.4972,230.1530,230.4746,230.7606,231.7664,232.4468,232.8870,233.2349,233.6613,234.2122,234.8447,235.4757,236.0425,236.5244,236.9926,237.4924,238.0412,238.6225,239.1935,239.7179,240.2265,240.7203,241.2328,241.7741,242.3254,242.8552,243.3716,243.8814,244.3971,244.9341,245.4767,246.0175,246.5496,247.0677,247.5834,248.1074,248.6261,249.1575,249.6899,250.2234
Player56OnsetTimes,200.9978,202.5813,203.2053,203.8268,204.5279,205.2125,206.3666,206.9843,207.3466,207.8170,209.0204,209.6891,210.1532,210.9811,211.4665,212.0303,212.6738,213.9601,214.5889,214.8410,215.4322,216.0039,217.1658,217.8139,218.1137,218.8485,219.4588,220.5476,221.1585,221.5010,222.3208,222.9088,223.3754,224.4365,225.0331,225.3319,225.9961,226.5927,227.1548,228.3377,228.9636,229.2590,229.7922,230.2823,230.8274,231.4671,232.1072,232.7729,233.3780,233.8954,234.3562,234.8281,235.3515,235.9335,236.5086,237.0542,237.5725,238.0872,238.6076,239.1468,239.6870,240.2265,240.7531,241.2637,241.7918,242.3254,242.8552,243.3716,243.8964,244.4286,244.9657,245.4921,246.0175,246.5345,247.0516,247.5834,248.1232,248.6591,249.1732,249.6899,250.2072
Player57OnsetTimes,200.6907,202.7852,203.3140,203.7810,204.4037,205.1178,206.4460,207.1250,207.4414,207.8015,208.8673,209.5513,210.1221,210.6484,211.6895,212.5002,212.9921,213.5994,213.9926,214.9987,215.7298,216.1819,216.9126,217.4352,218.4131,219.0652,219.4588,220.2592,220.8766,221.4389,222.0575,222.6970,223.3602,224.0471,224.6711,225.2715,225.8875,226.5453,227.2181,227.8698,228.4640,229.1209,229.7771,230.3928,230.9702,231.5596,232.1228,232.7428,233.3623,233.9265,234.4208,234.9079,235.4126,235.9491,236.5086,237.0707,237.6190,238.1486,238.6691,239.1775,239.7025,240.2447,240.7836,241.3111,241.8405,242.3578,242.8704,243.3866,243.9128,244.4446,244.9824,245.5220,246.0490,246.5651,247.0857,247.6161,248.1406,248.6740,249.2036,249.7215,250.2390
Player58OnsetTimes,202.1246,202.6452,203.1738,204.2923,204.9953,205.3220,205.9792,207.0150,207.6447,208.0747,208.8165,209.2699,209.8575,211.2490,211.9342,212.2858,212.8681,213.7536,214.2110,214.9505,215.5087,215.9690,216.9777,217.6269,218.0521,219.0181,219.6464,220.0506,220.9703,221.6557,222.1808,222.6508,223.7653,224.4675,224.7656,225.3014,226.3246,226.9230,227.2332,227.9148,228.4640,229.0437,229.6576,230.2981,230.9226,231.5442,232.1072,232.6968,233.2978,233.8492,234.3562,234.8600,235.3823,235.9335,236.4939,237.0388,237.5560,238.0717,238.5922,239.1300,239.6721,240.2101,240.7370,241.2637,241.7918,242.3096,242.8220,243.3560,243.8964,244.4286,244.9497,245.4615,245.9865,246.5192,247.0516,247.5834,248.1074,248.6261,249.1575,249.6899,250.2234
Player59OnsetTimes,200.5616,202.6605,203.2833,203.8418,204.4825,205.1502,206.3666,207.0304,207.3933,207.8325,208.9748,209.6284,210.1221,211.0422,211.5651,212.0934,212.6738,213.8813,214.5097,214.8100,215.5241,216.1187,216.6438,217.7831,218.4742,218.8805,219.5852,220.1161,221.1585,221.8231,222.2433,222.9692,223.4984,223.9862,224.4979,225.7631,226.4946,226.7819,227.1871,228.1138,228.7084,229.1665,229.6232,230.7458,231.4185,231.7301,232.1382,232.6049,233.1851,233.8174,234.4208,234.9549,235.4284,235.9029,236.4312,236.9926,237.5725,238.1327,238.6530,239.1468,239.6567,240.1935,240.7370,241.2798,241.8067,242.3254,242.8387,243.3560,243.8814,244.4125,244.9497,245.4767,246.0023,246.5345,247.0677,247.6013,248.1232,248.6420,249.1575,249.6748,250.2072
Player60OnsetTimes,201.0136,202.5968,203.1898,203.7957,204.4973,205.1969,206.3820,207.0150,207.3622,207.8015,208.9906,209.6741,210.1532,211.0115,211.5003,212.0466,212.6738,213.9449,214.5723,214.8253,215.4478,216.0205,217.1658,217.7984,218.0985,218.8485,219.4588,220.5476,221.1585,221.5010,222.3208,222.9088,223.3754,224.4365,225.0331,225.3319,225.9961,226.5927,227.1548,228.3377,228.9636,229.2590,229.7922,230.2823,230.8274,231.4671,232.1072,232.7729,233.3780,233.8954,234.3562,234.8281,235.3515,235.9335,236.5244,237.0707,237.5879,238.0872,238.5922,239.1300,239.6870,240.2447,240.7679,241.2637,241.7741,242.2943,242.8387,243.3866,243.9128,244.4286,244.9497,245.4767,246.0023,246.5345,247.0677,247.6013,248.1232,248.6420,249.1575,249.6899,250.2234
