Key,Value
BPM,120.0000
StartTime,82.5453
scoreCounter,65.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Mean Onset List,84.2658,86.3427,87.0778,87.7095,88.3148,89.2124,89.8108,90.4326,90.9698,91.6599,92.2099,92.8242,93.3489,94.0231,94.5826,95.1689,95.6906,96.2576,96.7853,97.3654,97.8901,98.4519,98.9787,99.5072,100.0345,100.5622,101.0927,101.6279,102.1626,102.6972,103.2366,103.7761,104.3168,104.8575,105.9514,106.5049,107.0334,107.5646,108.0964,108.6272,109.1602,109.6931,110.2241,110.7617,111.2964,111.8308,112.3625,112.8962,113.4273,113.9600,114.4926,115.0212,115.5516,116.0825,116.6098,117.1399,117.6700,118.2012,118.7344,119.2666,119.7969,120.3271,120.8582,121.3886,121.9197
Mean Interval List,0.0000,0.5865,0.5110,0.5040,0.5001,0.5257,0.5105,0.5090,0.5064,0.5079,0.5019,0.5008,0.4993,0.5016,0.4974,0.4982,0.4969,0.5009,0.4999,0.5019,0.5023,0.5043,0.5054,0.5049,0.5057,0.5081,0.5110,0.5131,0.5128,0.5150,0.5153,0.5160,0.5181,0.5221,0.5310,0.5044,0.5061,0.5071,0.5080,0.5093,0.5097,0.5096,0.5101,0.5088,0.5102,0.5105,0.5100,0.5084,0.5075,0.5071,0.5052,0.5059,0.5067,0.5056,0.5054,0.5062,0.5084,0.5087,0.5088,0.5088,0.5082,0.5073,0.5068,0.5074,0.5066
Timestamps,76.4273,77.2053,79.1586,79.5844,80.1087,80.5987,81.0354,81.5213,82.0157,82.5453,83.1280,83.7355,84.2656,84.8410,85.3977,85.9915,86.5585,87.1528,87.7076,88.2812,88.8231,89.4169,89.9843,90.5552,91.1205,91.6922,92.2188,92.8042,93.3753,93.9651,94.5396,95.1002,95.7018,96.2502,96.8172,97.4042,97.9693,98.5529,99.0694,99.6148,100.1883,100.7738,101.3468,101.8759,102.4532,102.9926,103.5457,104.1270,104.7461,105.4641,106.0267,106.6132,107.1624,107.7101,108.2673,108.8065,109.3371,109.8793,110.3850,110.9487,111.4898,112.0137,112.5135,113.0291,113.5512,114.0453,114.5917,115.1364,115.6455,116.1717,116.7143,117.2892,117.8240,118.3566,118.8904,119.4105,119.9215,120.4421,120.9848,121.4991,122.0497
Player1OnsetTimes,83.8912,86.5045,87.3823,87.8024,88.1119,89.0271,89.7301,90.3963,90.9950,91.5526,92.0609,92.6633,93.2949,93.9489,94.5214,95.1002,95.6699,96.2502,96.7994,97.3433,97.8635,98.4139,98.9763,99.5368,100.0801,100.5950,101.1067,101.6248,102.1548,102.6993,103.2566,103.8088,104.3506,104.8689,105.9347,106.4935,107.0351,107.5871,108.1254,108.6515,109.1741,109.7004,110.2319,110.7790,111.3209,111.8429,112.3619,112.8885,113.4197,113.9692,114.5139,115.0439,115.5662,116.0927,116.6202,117.1455,117.6730,118.2116,118.7555,119.2900,119.8098,120.3299,120.8578,121.3900,121.9276
Player2OnsetTimes,84.7781,86.3665,86.6095,87.6300,88.4885,89.0717,89.9189,90.5552,91.0109,91.4573,92.4596,93.1289,93.4666,94.0578,94.4913,95.4639,96.0378,96.3298,96.5956,97.5104,98.1645,98.5674,98.8736,99.3062,99.8905,100.5500,101.1699,101.7028,102.1693,102.6363,103.1505,103.7193,104.3024,104.8689,105.9646,106.4935,106.9962,107.5238,108.0759,108.6217,109.1571,109.6856,110.2023,110.7236,111.2588,111.8105,112.3619,112.9057,113.4197,113.9387,114.4612,114.9952,115.5359,116.0766,116.6052,117.1301,117.6578,118.1814,118.7068,119.2453,119.7944,120.3299,120.8578,121.3747,121.8972
Player3OnsetTimes,84.7932,86.3665,86.5935,87.6142,88.4885,89.0861,89.9343,90.5552,90.9950,91.4424,92.4596,93.1444,93.4813,94.0427,94.4593,95.4485,96.0535,96.3610,96.6107,97.4797,98.1181,98.5529,98.9029,99.3371,99.9067,100.5500,101.1540,101.6862,102.1693,102.6515,103.1655,103.7193,104.3024,104.8689,105.9646,106.4935,106.9962,107.5238,108.0759,108.6217,109.1571,109.6856,110.2023,110.7236,111.2588,111.8105,112.3619,112.9057,113.4197,113.9387,114.4612,114.9952,115.5359,116.0766,116.6052,117.1301,117.6578,118.1814,118.7068,119.2453,119.7944,120.3299,120.8578,121.3747,121.8972
Player4OnsetTimes,84.7477,86.3201,86.8288,87.9096,88.6170,88.9957,89.6359,90.3346,90.9950,91.5991,92.1089,92.6788,93.2796,93.9010,94.4744,95.0821,95.6852,96.2662,96.7994,97.3281,97.8472,98.3984,98.9600,99.5368,100.0801,100.5950,101.0910,101.6090,102.1548,102.7142,103.2566,103.7937,104.3179,104.8539,105.9494,106.5079,107.0351,107.5714,108.1088,108.6368,109.1571,109.6856,110.2172,110.7621,111.3053,111.8429,112.3772,112.9057,113.4352,113.9692,114.4986,115.0273,115.5512,116.0766,116.6052,117.1455,117.6881,118.2116,118.7395,119.2600,119.7944,120.3299,120.8733,121.4052,121.9276
Player5OnsetTimes,83.7355,86.3665,87.3666,87.8925,88.2192,89.0109,89.6359,90.3194,90.9802,91.5991,92.1255,92.6943,93.2796,93.9010,94.4913,95.1149,95.7168,96.2837,96.7994,97.3125,97.8323,98.4139,98.9914,99.5676,100.0958,100.5950,101.0910,101.6090,102.1548,102.7142,103.2732,103.8088,104.3339,104.8539,105.9494,106.5079,107.0512,107.5871,108.1088,108.6368,109.1741,109.7158,110.2473,110.7790,111.3053,111.8429,112.3772,112.9057,113.4352,113.9692,114.5139,115.0439,115.5662,116.0927,116.6202,117.1455,117.6730,118.2116,118.7555,119.2900,119.8098,120.3299,120.8578,121.3900,121.9276
Player6OnsetTimes,84.2809,86.3813,86.9833,87.5037,88.6974,89.3686,89.6359,90.4746,91.1361,91.6296,92.0308,93.1289,93.7753,94.0730,94.4913,95.4485,96.0225,96.3298,96.6107,97.5248,98.1645,98.5674,98.8736,99.3062,99.8905,100.5500,101.1699,101.7028,102.1693,102.6363,103.1505,103.7193,104.3024,104.8689,105.9646,106.4935,106.9962,107.5238,108.0759,108.6217,109.1571,109.6856,110.2023,110.7236,111.2588,111.8105,112.3619,112.9057,113.4197,113.9387,114.4612,114.9952,115.5359,116.0766,116.6052,117.1301,117.6578,118.1814,118.7068,119.2453,119.7944,120.3299,120.8578,121.3747,121.8972
Player7OnsetTimes,84.1548,86.2442,86.9352,87.5509,88.1882,89.4775,90.1232,90.4746,90.7793,91.7844,92.4596,92.8986,93.2481,94.1866,94.7878,95.2020,95.5765,96.0711,96.6735,97.3281,97.9384,98.4900,98.9763,99.4739,100.0006,100.5500,101.1067,101.6554,102.1862,102.6993,103.2257,103.7636,104.3024,104.8539,105.9494,106.5079,107.0351,107.5551,108.0924,108.6217,109.1571,109.6856,110.2172,110.7621,111.3053,111.8429,112.3619,112.8885,113.4197,113.9543,114.4986,115.0273,115.5512,116.0766,116.6052,117.1455,117.6730,118.1962,118.7236,119.2600,119.7944,120.3299,120.8578,121.3900,121.9119
